N	2gram	Voloshinov_1	Tvorches
1	и в	13	21
2	как бы	6	17
3	в его	7	13
4	то же	4	13
5	что в	3	12
6	как и	3	12
7	том что	2	11
8	все это	4	10
9	как в	2	8
10	то что	6	8
11	в том	2	7
12	при этом	2	7
13	не только	6	7
14	и не	8	7
15	но в	4	7
16	и все	3	6
17	не менее	2	6
18	для него	2	6
19	а в	2	6
20	и его	12	6
21	в этом	2	6
22	вовсе не	2	5
23	а не	2	5
24	может быть	8	5
25	все же	5	5
26	таким образом	6	5
27	хотя бы	5	5
28	в своих	2	5
29	только в	6	5
30	прежде всего	9	4
31	в целом	2	4
32	своего рода	2	4
33	в своей	4	4
34	не может	8	4
35	уже в	2	3
36	в книге	2	3
37	самого начала	2	3
38	никогда не	3	3
39	с другой	2	3
40	в каждом	4	3
41	с самого	2	3
42	соответствии с	2	3
43	в самом	2	3
44	в нем	2	3
45	но и	3	3
46	ее в	2	3
47	в их	3	3
48	во времени	2	3
49	так же	2	3
50	в которой	3	3
51	так как	3	3
52	а как	2	2
53	не столько	3	2
54	есть не	2	2
55	не в	3	2
56	отношений между	2	2
57	тот же	2	2
58	к тому	2	2
59	в ней	2	2
60	и тем	2	2
61	еще в	2	2
62	данном случае	2	2
63	так и	3	2
64	вслед за	2	2
65	во всей	2	2
66	вряд ли	3	2
67	этой проблемы	2	2
68	в двух	4	2
69	здесь мы	3	2
70	не мог	2	2
71	самом деле	3	2
72	в материал	2	2
73	и наконец	5	2
74	могут быть	2	2
75	в данном	2	2
76	в себе	3	2
77	героя и	2	2
78	в чем	2	2
