N	2gram	Vinokur_St_1	formyVre
1	и в	44	50
2	то есть	2	33
3	в этом	21	25
4	в нем	5	24
5	и его	8	16
6	прежде всего	7	15
7	и не	16	14
8	вовсе не	19	13
9	как раз	4	13
10	в его	9	13
11	по существу	2	12
12	так и	9	12
13	может быть	15	11
14	таким образом	7	11
15	то же	5	11
16	но в	10	10
17	в конце	3	9
18	в том	36	9
19	же время	4	9
20	все эти	5	9
21	в других	2	9
22	в то	9	9
23	не только	18	9
24	ничего не	2	9
25	в самом	7	8
26	его жизни	3	8
27	и т	30	8
28	и их	2	8
29	но и	10	8
30	как и	9	8
31	того же	3	8
32	жизни и	5	8
33	ни в	3	8
34	т п	9	8
35	не было	4	7
36	и во	2	7
37	для себя	3	7
38	все же	8	6
39	в частности	4	6
40	это не	8	6
41	например в	8	6
42	не может	8	6
43	лишь в	3	6
44	так же	5	6
45	в результате	3	6
46	так как	5	6
47	у него	2	6
48	с этим	3	6
49	и все	2	6
50	во всех	8	6
51	то что	18	6
52	в ее	4	6
53	как в	13	6
54	что в	30	5
55	не в	12	5
56	время как	2	5
57	в основе	3	5
58	точки зрения	11	5
59	всех этих	2	5
60	но все	4	5
61	если бы	9	5
62	но не	3	5
63	еще не	3	5
64	он не	2	5
65	отношению к	3	5
66	и речи	2	5
67	того чтобы	11	5
68	для того	10	5
69	и у	2	5
70	могут быть	5	5
71	том числе	2	4
72	но на	2	4
73	в своем	2	4
74	в котором	5	4
75	все это	5	4
76	не имеет	4	4
77	конечно и	3	4
78	потому что	6	4
79	и с	3	4
80	в ней	3	4
81	то время	2	4
82	конечно не	2	4
83	раз в	2	4
84	в той	6	4
85	том что	29	4
86	и для	3	4
87	и то	5	4
88	только в	10	4
89	и это	2	4
90	в основу	4	3
91	в этих	2	3
92	в отношении	9	3
93	да и	3	3
94	при этом	2	3
95	с нашей	2	3
96	и уже	2	3
97	со всеми	2	3
98	по отношению	3	3
99	отношения к	2	3
100	этом отношении	7	3
101	с одной	3	3
102	именно в	6	3
103	а в	17	3
104	вообще не	2	3
105	и те	2	3
106	их в	2	3
107	сказать что	7	3
108	одно из	2	3
109	в начале	3	3
110	его в	2	3
111	а как	2	3
112	не знает	2	3
113	к концу	2	3
114	в качестве	4	3
115	в сущности	2	3
116	и потому	2	3
117	что и	6	3
118	сих пор	7	3
119	еще более	4	3
120	а не	16	3
121	что не	3	3
122	мы не	2	3
123	в таком	3	3
124	во всяком	6	3
125	в себе	2	3
126	до сих	7	3
127	уже в	2	2
128	совсем не	2	2
129	же как	3	2
130	никогда не	5	2
131	точку зрения	3	2
132	с другой	9	2
133	никто не	4	2
134	что все	2	2
135	была бы	5	2
136	вопрос о	4	2
137	для нас	7	2
138	есть в	2	2
139	числе и	2	2
140	для него	6	2
141	одной стороны	2	2
142	и иные	2	2
143	но для	2	2
144	есть только	2	2
145	в целом	5	2
146	места в	2	2
147	отношение к	2	2
148	ни с	3	2
149	еще и	2	2
150	не для	2	2
151	мы находим	4	2
152	во втором	4	2
153	того что	9	2
154	и даже	5	2
155	и по	5	2
156	в которых	5	2
157	также и	9	2
158	же и	4	2
159	но он	2	2
160	в истории	3	2
161	что мы	5	2
162	не является	3	2
163	он должен	2	2
164	которыми он	2	2
165	ясно что	10	2
166	об этом	3	2
167	в чем	3	2
168	чем в	3	2
169	было бы	17	2
170	в данной	2	2
171	не являются	3	2
172	а также	2	2
173	в своей	6	2
174	как бы	4	2
175	быть и	2	2
176	даже не	4	2
177	совершенно не	5	2
178	с точки	8	2
179	хотя бы	6	2
180	в которой	4	2
181	той же	5	2
182	в данном	14	2
183	от этого	2	2
184	тем что	5	2
185	можно назвать	2	2
186	в каком	3	2
187	и вообще	3	2
188	здесь совершенно	3	2
189	дело в	6	2
190	там где	5	2
