N	2gram	Propp_Russ_2	Poddanst
1	не только	10	17
2	и в	29	14
3	в этом	11	10
4	то же	4	9
5	в том	22	9
6	в качестве	3	9
7	но в	5	9
8	и д	2	8
9	в то	2	7
10	но и	8	6
11	было бы	3	6
12	а н	3	5
13	с другой	2	5
14	не в	4	5
15	в которых	4	5
16	и пр	2	5
17	и о	3	5
18	может быть	13	5
19	же в	6	4
20	в котором	3	4
21	то что	5	4
22	что в	22	4
23	и е	2	4
24	не может	5	4
25	а в	9	4
26	том что	22	4
27	а также	4	4
28	как бы	18	4
29	и т	5	3
30	с тем	6	3
31	это не	5	3
32	с одной	2	3
33	т е	24	3
34	прежде всего	2	3
35	для того	6	3
36	мы не	6	3
37	и как	2	3
38	между тем	3	3
39	но не	5	3
40	могут быть	2	3
41	одной стороны	2	3
42	потому что	5	3
43	не менее	2	2
44	не к	2	2
45	для них	2	2
46	именно в	4	2
47	во всех	3	2
48	не будем	3	2
49	в них	4	2
50	все это	10	2
51	не столько	2	2
52	в xix	3	2
53	с этим	2	2
54	главным образом	3	2
55	и других	3	2
56	а не	4	2
57	того что	3	2
58	должно быть	2	2
59	для нас	6	2
60	в ее	3	2
61	есть в	2	2
62	одна из	11	2
63	которое в	2	2
64	в виде	4	2
65	переход от	2	2
66	не было	2	2
67	в европе	2	2
68	из них	4	2
69	церкви и	2	2
70	в эту	3	2
71	и с	10	2
