N	2gram	Berdyaev_V_1	Myslijsy
1	потому что	4	33
2	то что	9	29
3	в том	3	23
4	и в	16	23
5	в этом	4	23
6	и не	20	18
7	что в	3	17
8	только в	2	15
9	для нас	2	14
10	как и	4	14
11	того что	5	14
12	так как	9	14
13	том что	2	12
14	не было	3	12
15	а не	7	12
16	что я	3	11
17	но и	5	11
18	не в	3	11
19	и потому	7	10
20	что мы	4	10
21	не только	2	10
22	тем что	2	10
23	не есть	6	9
24	между тем	2	9
25	то это	3	8
26	мы не	2	8
27	но в	3	8
28	когда я	2	7
29	с тем	2	7
30	это не	2	7
31	в нем	4	7
32	что и	3	7
33	и что	3	7
34	и т	2	7
35	могут быть	2	7
36	что не	4	6
37	так и	4	6
38	для него	2	5
39	и мы	3	5
40	хотя и	5	5
41	в его	4	5
42	как бы	5	5
43	бы и	3	5
44	все это	5	5
45	должно быть	3	5
46	а в	2	5
47	с ним	2	5
48	во всяком	2	5
49	говорить о	4	5
50	и то	2	5
51	не имеет	3	5
52	и все	4	4
53	что все	4	4
54	что он	4	4
55	есть уже	2	4
56	в котором	4	4
57	да и	2	4
58	в истории	8	4
59	того чтобы	2	4
60	хотя бы	3	4
61	для человека	2	4
62	а между	2	4
63	до того	2	3
64	и есть	4	3
65	никогда не	3	3
66	в этих	3	3
67	давно уже	2	3
68	в них	3	3
69	человека и	6	3
70	но это	3	3
71	не будет	2	3
72	еще не	8	3
73	к тому	3	3
74	нет ничего	3	3
75	что есть	5	3
76	т д	2	3
77	все эти	3	3
78	все равно	2	3
79	уже не	2	3
80	лишь в	3	3
81	более чем	2	3
82	я говорю	2	3
83	их в	3	3
84	что от	2	2
85	не могут	2	2
86	тому что	3	2
87	все что	4	2
88	превращается в	3	2
89	оно не	3	2
90	в образе	4	2
91	и я	4	2
92	мы и	2	2
93	от него	2	2
94	тот же	3	2
95	за ним	3	2
96	в ней	4	2
97	один из	2	2
98	не с	2	2
99	и это	2	2
100	в мире	5	2
101	на том	2	2
102	конечно не	2	2
103	мы хотим	4	2
104	и для	3	2
105	и они	3	2
106	не так	2	2
107	можно было	2	2
108	духа и	2	2
109	тех которые	3	2
110	никогда еще	2	2
111	в первый	3	2
112	но мы	2	2
113	его к	2	2
114	которые не	2	2
