N	2gram	Tiupa_Disk_1	Psycholo
1	в том	23	37
2	и в	16	32
3	и что	2	22
4	том что	19	21
5	то что	5	21
6	таким образом	3	21
7	потому что	4	21
8	то есть	20	21
9	что в	4	20
10	может быть	17	18
11	что и	3	17
12	не может	9	17
13	точки зрения	3	17
14	что он	4	13
15	при этом	13	13
16	то же	7	13
17	в этом	15	13
18	по себе	3	12
19	в самом	3	12
20	не только	28	12
21	заключается в	3	12
22	в основе	7	11
23	как и	16	10
24	когда он	2	10
25	но и	14	10
26	и не	11	10
27	никогда не	2	9
28	как в	10	9
29	в своих	3	9
30	тем что	3	9
31	не менее	2	8
32	не в	7	8
33	дело с	2	8
34	того что	3	8
35	к тому	5	7
36	и как	6	7
37	а не	22	7
38	в сущности	2	7
39	и его	2	7
40	сказать что	3	7
41	только в	7	7
42	в этой	2	6
43	как бы	5	6
44	целый ряд	2	6
45	же самое	2	6
46	о том	8	6
47	отнюдь не	8	5
48	к искусству	2	5
49	далеко не	10	5
50	и даже	3	5
51	и на	5	5
52	в то	3	5
53	столь же	3	4
54	едва ли	2	4
55	в действительности	3	4
56	иначе говоря	2	4
57	и по	2	4
58	и тем	2	4
59	в нем	9	4
60	все же	3	4
61	из них	3	4
62	данном случае	2	4
63	а в	5	4
64	и все	2	4
65	мы имеем	2	4
66	в данном	5	4
67	могут быть	4	4
68	с этим	3	4
69	в целом	4	4
70	в произведении	3	4
71	между тем	4	4
72	по своему	3	3
73	состоит в	9	3
74	в частности	9	3
75	хотя бы	3	3
76	с другой	10	3
77	не как	4	3
78	указывает на	2	3
79	и к	4	3
80	об этом	2	3
81	но как	2	3
82	в свою	3	3
83	что с	2	3
84	к области	2	3
85	например в	2	3
86	в своей	5	3
87	сами по	2	3
88	один из	3	3
89	с ее	2	3
90	так и	8	3
91	во всех	5	3
92	том чтобы	2	3
93	и ее	2	3
94	в их	5	3
95	что же	2	3
96	на этом	2	3
97	что не	4	3
98	должны быть	3	3
99	и он	2	3
100	тому как	3	3
101	как к	2	3
102	в которых	4	3
103	того или	2	3
104	но в	8	3
105	в виду	2	3
106	это было	2	3
107	слова в	2	2
108	зависит от	2	2
109	с его	4	2
110	в них	4	2
111	в какой	2	2
112	это не	3	2
113	точка зрения	2	2
114	одного и	2	2
115	в одном	2	2
116	в каждом	2	2
117	это в	2	2
118	во всяком	2	2
119	сводится к	5	2
120	же время	4	2
121	свою очередь	3	2
122	еще не	14	2
123	но не	11	2
124	того же	3	2
125	на его	4	2
126	к ним	3	2
127	в его	7	2
128	в ее	3	2
129	оно не	2	2
130	отношение к	4	2
131	как не	3	2
132	на том	2	2
133	в процессе	5	2
134	отличается от	2	2
135	и без	2	2
136	другой стороны	3	2
137	в особенности	4	2
138	а с	5	2
139	не было	7	2
140	роль в	7	2
141	отличие от	5	2
142	принадлежат к	3	2
143	также и	3	2
144	подобно тому	2	2
145	в себе	7	2
146	и вообще	2	2
147	для художественного	2	2
148	заметить что	2	2
149	к которому	2	2
