N	2gram	Losev_Prob_2	Russkaja
1	не может	13	22
2	и не	37	19
3	в том	12	17
4	в этом	17	17
5	и в	35	14
6	то что	38	13
7	таким образом	4	11
8	то же	5	11
9	точки зрения	2	11
10	но и	16	10
11	в то	6	10
12	том что	19	9
13	не только	24	9
14	в себе	5	9
15	может быть	18	9
16	во всяком	13	9
17	прежде всего	11	8
18	того чтобы	2	8
19	как на	2	8
20	отнюдь не	5	7
21	к тому	3	7
22	и если	3	7
23	не будет	11	7
24	самом деле	4	7
25	в данном	10	7
26	самого себя	2	7
27	мы должны	3	7
28	о том	18	7
29	и с	10	7
30	если бы	4	6
31	на самом	4	6
32	что он	4	6
33	и к	3	6
34	и при	2	6
35	с тем	3	6
36	для того	3	6
37	для всех	2	6
38	всяком случае	10	6
39	все это	4	6
40	в своем	4	6
41	и для	6	6
42	в своих	3	6
43	между собой	5	5
44	хотя бы	12	5
45	вопрос о	3	5
46	на то	6	5
47	и на	5	5
48	или иной	5	5
49	при этом	3	5
50	до сих	4	5
51	было бы	8	5
52	конечно не	2	5
53	он не	2	5
54	сих пор	4	5
55	во всех	2	5
56	в последние	2	5
57	и только	4	5
58	из которых	2	5
59	а в	4	5
60	потому что	13	5
61	только в	14	5
62	но не	4	4
63	не могут	4	4
64	том случае	2	4
65	что в	11	4
66	то ни	3	4
67	тогда когда	3	4
68	как и	5	4
69	более или	4	4
70	все что	3	4
71	ли это	2	4
72	как бы	4	4
73	себе и	2	4
74	все же	8	4
75	бы то	2	4
76	в корне	2	4
77	вместе с	2	4
78	или менее	4	4
79	что же	9	4
80	в их	3	4
81	не в	2	4
82	можно было	5	4
83	и то	10	4
84	в этой	9	4
85	в его	7	4
86	которой он	4	4
87	его в	3	4
88	идет речь	2	4
89	так как	7	4
90	он сам	3	3
91	для них	3	3
92	можно ли	6	3
93	на том	3	3
94	случае если	2	3
95	из этих	3	3
96	в конце	7	3
97	что все	6	3
98	с нею	2	3
99	что может	2	3
100	при условии	6	3
101	о которых	3	3
102	этом случае	7	3
103	всех этих	4	3
104	да и	10	3
105	и как	4	3
106	лишь в	3	3
107	что они	3	3
108	собой и	4	3
109	должно быть	2	3
110	в качестве	2	3
111	еще не	10	3
112	несмотря на	3	3
113	в самом	5	3
114	той или	5	3
115	но если	4	3
116	и этот	3	3
117	для этого	3	3
118	но мы	3	3
119	то это	3	3
120	что и	2	3
121	не есть	33	3
122	и т	6	3
123	данном случае	5	3
124	не было	3	3
125	что оно	2	3
126	сводится к	2	3
127	в значительной	3	3
128	того что	12	3
129	и по	3	3
130	что для	3	3
131	или в	2	3
132	тем что	4	3
133	в виде	6	3
134	говорить о	10	3
135	связи с	5	3
136	о котором	3	3
137	из этого	2	3
138	конце концов	7	3
139	и ни	3	3
140	одна из	3	3
141	будет в	2	2
142	сама по	4	2
143	не существуют	2	2
144	и более	5	2
145	от нас	3	2
146	и есть	4	2
147	в частности	5	2
148	по этому	3	2
149	но даже	3	2
150	были бы	2	2
151	бы его	2	2
152	и от	3	2
153	с этим	5	2
154	точно так	3	2
155	это в	2	2
156	представить себе	4	2
157	ясно что	8	2
158	или иного	5	2
159	по себе	8	2
160	ни в	6	2
161	уже не	8	2
162	так что	11	2
163	но это	6	2
164	является не	2	2
165	собой все	2	2
166	не можем	4	2
167	указывает на	5	2
168	отличается от	2	2
169	настоящее время	16	2
170	что с	2	2
171	она не	3	2
172	разных сторон	2	2
173	и тот	3	2
174	совершенно не	2	2
175	от друга	2	2
176	самому своему	2	2
177	и о	4	2
178	по самому	3	2
179	говорили в	2	2
180	в ней	2	2
181	на это	2	2
182	и является	3	2
183	речь идет	2	2
184	в настоящее	16	2
185	если же	3	2
186	для себя	9	2
187	и тем	4	2
188	на этой	2	2
189	друг от	2	2
190	для нас	9	2
191	быть и	2	2
192	даже не	3	2
193	тому что	3	2
194	всем этим	3	2
195	это только	3	2
196	если не	4	2
197	все эти	7	2
198	не просто	11	2
199	только на	9	2
200	и что	13	2
201	тем самым	7	2
202	а не	10	2
203	значительной мере	3	2
204	что такое	18	2
205	и наконец	3	2
206	и даже	11	2
207	не так	2	2
208	к нему	2	2
209	так же	5	2
210	во многих	2	2
211	в таком	11	2
212	в результате	4	2
213	их в	4	2
214	мы можем	6	2
215	не о	6	2
216	даже и	18	2
217	с самим	3	2
218	мы уже	3	2
219	на эту	2	2
220	того или	7	2
221	в таких	3	2
222	ни от	2	2
223	как будто	6	2
224	в этих	4	2
225	только с	2	2
226	в области	6	2
227	но в	6	2
