N	2gram	Nazirov_Tr_1	slovoVRo
1	и в	18	41
2	в нем	4	30
3	то есть	3	26
4	в романе	10	21
5	но и	4	16
6	и не	7	16
7	не только	8	16
8	то же	5	14
9	может быть	7	14
10	не может	5	14
11	и его	6	14
12	и на	7	14
13	в то	5	14
14	в его	3	13
15	же время	6	12
16	до конца	2	12
17	как бы	7	12
18	в этом	9	12
19	так и	5	11
20	все эти	3	9
21	прежде всего	4	8
22	но в	6	8
23	как в	3	8
24	не в	2	7
25	отношение к	2	7
26	с ним	3	7
27	все же	5	7
28	это не	5	6
29	при этом	3	6
30	и даже	4	6
31	в самом	2	5
32	все это	4	5
33	романа и	3	5
34	к нему	3	5
35	перед нами	2	4
36	один из	3	4
37	с ее	3	4
38	и с	7	4
39	и все	4	4
40	с его	2	4
41	как и	5	4
42	еще не	4	4
43	ничего не	2	4
44	не могут	2	3
45	никогда не	2	3
46	к тому	2	3
47	в том	2	3
48	и сам	3	3
49	для него	3	3
50	данном случае	2	3
51	в своем	3	3
52	друг друга	2	3
53	и здесь	2	3
54	о том	2	3
55	его в	2	3
56	в первом	2	3
57	у него	6	3
58	в себе	4	3
59	он не	2	3
60	в основном	3	3
61	бы и	2	3
62	в данном	2	3
63	и ее	2	3
64	в частности	2	2
65	столь же	2	2
66	что все	2	2
67	в известной	2	2
68	так что	2	2
69	в целом	4	2
70	уже не	2	2
71	между этими	2	2
72	должно быть	3	2
73	так же	4	2
74	потому что	2	2
75	а как	2	2
76	в одном	2	2
77	из своих	2	2
78	вместе со	2	2
79	том что	4	2
80	одна из	2	2
81	чем он	2	2
82	в ее	2	2
83	и то	2	2
84	в виде	2	2
