N	2gram	Voloshinov_1	Analitik
1	в этом	13	18
2	и в	15	16
3	не только	5	16
4	так и	10	15
5	как и	6	14
6	в том	4	12
7	но и	4	12
8	и не	16	12
9	том что	5	12
10	в качестве	2	11
11	могут быть	6	10
12	как бы	11	10
13	при этом	7	10
14	а не	2	10
15	и даже	2	9
16	в этой	5	9
17	ничего не	2	9
18	в данном	3	8
19	отнюдь не	2	8
20	в целом	2	8
21	и т.п	2	8
22	к тому	4	7
23	в себе	4	7
24	то что	10	7
25	в самом	6	6
26	и на	3	6
27	может быть	13	6
28	но в	9	6
29	и к	7	5
30	данном случае	3	5
31	на себя	2	5
32	не менее	3	4
33	в своем	2	4
34	можно сказать	4	4
35	и смерти	2	4
36	у него	3	4
37	уже не	5	4
38	не в	4	4
39	за пределы	2	4
40	читателя в	3	4
41	но не	5	4
42	для него	5	4
43	внутренней речи	3	4
44	отношению к	9	4
45	во второй	5	4
46	во всех	8	4
47	как в	3	4
48	все это	5	4
49	как раз	2	4
50	по отношению	11	4
51	не может	13	4
52	на этом	5	4
53	и его	15	4
54	то же	7	4
55	точки зрения	13	4
56	только в	6	4
57	в сознании	3	4
58	в себя	5	4
59	борьбы с	4	3
60	борьба с	3	3
61	никогда не	7	3
62	в нашем	3	3
63	прежде всего	11	3
64	тем не	2	3
65	по поводу	2	3
66	было бы	6	3
67	в центре	3	3
68	и за	2	3
69	на две	3	3
70	что и	2	3
71	со стороны	2	3
72	приводит к	2	3
73	только на	2	3
74	если бы	3	3
75	ответ на	2	3
76	этом отношении	2	3
77	не знает	3	3
78	именно в	3	3
79	а в	6	3
80	как мы	10	3
81	с ними	4	3
82	и то	2	3
83	случае в	2	3
84	сводится к	3	3
85	бы в	2	3
86	в эту	2	3
87	я и	6	3
88	и все	4	3
89	того что	2	2
90	для всех	2	2
91	них не	2	2
92	в состоянии	2	2
93	в одном	3	2
94	что все	5	2
95	к этому	7	2
96	вовсе не	2	2
97	по себе	2	2
98	он был	3	2
99	и смерть	3	2
100	все что	9	2
101	же время	5	2
102	что в	6	2
103	с их	3	2
104	она не	2	2
105	еще не	7	2
106	миф и	2	2
107	ведь и	2	2
108	в своей	9	2
109	в таких	3	2
110	один из	4	2
111	с ее	3	2
112	на этой	2	2
113	себя в	2	2
114	вместе с	4	2
115	на него	4	2
116	что она	2	2
117	не позволяет	2	2
118	в нас	2	2
119	отношения к	2	2
120	таким образом	21	2
121	той же	2	2
122	еще более	2	2
123	те же	4	2
124	и для	2	2
125	с точки	10	2
126	роль в	6	2
127	в таком	3	2
128	и до	3	2
129	не следует	2	2
130	между тем	2	2
131	одно из	3	2
132	он не	4	2
133	он и	2	2
134	о себе	2	2
135	на протяжении	5	2
136	это только	2	2
137	в то	6	2
138	в его	9	2
139	жизни но	2	2
140	его в	8	2
141	в этих	2	2
142	таком случае	2	2
143	сказать что	6	2
144	с ним	12	2
