N	2gram	Bakhtin_KF_1	Otkroven
1	и в	24	19
2	но и	9	13
3	и не	26	13
4	в этом	14	12
5	а не	17	11
6	не в	12	11
7	может быть	45	11
8	не только	5	11
9	и все	7	10
10	вопрос о	2	10
11	в нем	28	10
12	никогда не	5	9
13	не было	8	9
14	потому что	2	9
15	прежде всего	2	9
16	лишь в	8	7
17	человек не	2	7
18	до конца	3	7
19	от него	3	7
20	он не	6	7
21	в его	40	7
22	все это	10	6
23	как и	5	6
24	то что	7	5
25	а в	4	5
26	отношение к	5	5
27	в том	6	5
28	для него	8	5
29	в этой	2	5
30	того чтобы	2	4
31	что не	3	4
32	есть лишь	5	4
33	и его	17	4
34	все эти	10	4
35	не может	27	4
36	что в	4	4
37	к нему	12	3
38	и есть	9	3
39	это не	10	3
40	что он	2	3
41	того что	3	3
42	для того	3	3
43	хотя бы	4	3
44	в своих	3	3
45	еще не	4	3
46	могут быть	3	3
47	и ее	2	3
48	в себе	21	3
49	было бы	8	3
50	о том	3	3
51	с ним	5	3
52	как бы	9	3
53	это было	2	3
54	все же	5	2
55	что и	7	2
56	не есть	20	2
57	и для	9	2
58	с тем	2	2
59	в единстве	7	2
60	так и	2	2
61	жизни в	5	2
62	в своем	16	2
63	что есть	2	2
64	как к	2	2
65	к этому	2	2
66	по себе	2	2
67	не имеет	5	2
68	должно быть	6	2
69	в ее	16	2
70	том что	4	2
71	в другом	3	2
72	ни у	2	2
73	и на	3	2
74	и то	2	2
75	совсем не	2	2
76	тем что	3	2
77	момент в	7	2
78	этого мира	3	2
79	его в	5	2
80	в своей	10	2
81	и ни	3	2
82	и этим	3	2
83	этом мире	2	2
84	ничего не	3	2
85	но в	5	2
86	и потому	2	2
