N	2gram	Vinokur_Ku_2	Morfolog
1	может быть	15	52
2	и т	39	49
3	т д	14	47
4	и пр	8	40
5	таким образом	5	20
6	не может	9	17
7	т е	22	16
8	могут быть	4	15
9	с этим	3	14
10	и в	23	13
11	в этом	18	13
12	так как	15	12
13	перед нами	4	11
14	связи с	3	11
15	прежде всего	8	9
16	не всегда	2	9
17	этом случае	2	9
18	так и	4	9
19	в связи	4	9
20	то же	6	9
21	и не	16	9
22	а не	10	9
23	мы имеем	5	9
24	с другой	8	8
25	по существу	5	8
26	что и	3	8
27	в результате	4	8
28	вопрос о	9	7
29	в качестве	8	7
30	все же	7	7
31	или же	2	7
32	это не	6	6
33	не могут	5	6
34	и здесь	5	6
35	в том	19	6
36	но не	6	6
37	а также	3	6
38	в форме	3	6
39	а в	3	6
40	не менее	7	5
41	если мы	4	5
42	как бы	4	5
43	не все	3	5
44	один из	5	5
45	то что	9	5
46	сюда же	2	5
47	или в	4	5
48	потому что	25	5
49	что в	10	4
50	вовсе не	9	4
51	очень часто	2	4
52	об этом	5	4
53	тем не	6	4
54	было бы	15	4
55	не хватает	2	4
56	несмотря на	5	4
57	не только	20	4
58	как в	3	4
59	как мы	3	4
60	другой стороны	7	4
61	тех же	2	4
62	так же	4	4
63	как и	2	4
64	там где	5	4
65	хотя и	4	4
66	тем что	3	4
67	точки зрения	14	4
68	с точки	8	4
69	могла бы	2	4
70	на этом	3	4
71	также и	5	4
72	в иных	2	4
73	а если	2	4
74	ничего не	4	4
75	если бы	12	3
76	в нашем	7	3
77	же в	3	3
78	том что	11	3
79	но все	4	3
80	но это	3	3
81	что они	2	3
82	в пределах	4	3
83	того чтобы	11	3
84	в сущности	9	3
85	он не	3	3
86	ни в	4	3
87	но и	7	3
88	от того	4	3
89	целый ряд	5	3
90	для этой	2	3
91	на самом	2	3
92	самом деле	9	3
93	из которых	3	3
94	такие случаи	3	3
95	и по	3	3
96	к нему	2	3
97	и для	2	3
98	в то	4	3
99	мы должны	2	3
100	но в	11	3
101	ни к	15	2
102	и более	2	2
103	с тем	2	2
104	в частности	2	2
105	хотя бы	9	2
106	точно так	3	2
107	что эта	2	2
108	этого не	3	2
109	состоит в	2	2
110	к этому	4	2
111	о характере	2	2
112	таких случаях	2	2
113	что он	5	2
114	утверждать что	2	2
115	можно сказать	4	2
116	поставить вопрос	2	2
117	только в	5	2
118	следует еще	3	2
119	а на	2	2
120	нельзя было	2	2
121	смысле слова	2	2
122	но есть	2	2
123	носит характер	2	2
124	но для	3	2
125	в таких	3	2
126	оно не	2	2
127	вопроса о	6	2
128	с одной	2	2
129	все эти	12	2
130	и что	8	2
131	того что	3	2
132	для того	9	2
133	что такое	3	2
134	уже не	8	2
135	тем же	2	2
136	не имеет	4	2
137	и его	3	2
138	можно было	9	2
139	в каком	4	2
140	этот вопрос	6	2
141	в другом	2	2
142	не знает	3	2
143	что мы	6	2
144	но вот	2	2
145	в свое	2	2
146	ясно что	5	2
147	здесь не	3	2
148	но здесь	2	2
149	большинстве случаев	2	2
150	сказать что	4	2
151	как это	5	2
