N	3gram	Vygotskiy__2	Psycholo
1	для того чтобы	10	19
2	в том что	21	12
3	о том что	4	10
4	в самом деле	4	7
5	то же самое	2	6
6	на то что	6	6
7	на самом деле	2	5
8	с точки зрения	18	4
9	что он не	2	4
10	как раз в	2	4
11	можно было бы	5	4
12	друг с другом	2	4
13	смысле этого слова	3	3
14	то что он	2	3
15	к тому чтобы	2	3
16	во всяком случае	6	3
17	сама по себе	2	3
18	с одной стороны	7	3
19	в том чтобы	4	3
20	заключается в том	7	3
21	если бы мы	2	2
22	с таким образом	3	2
23	же самое что	2	2
24	потому что он	2	2
25	и в самом	2	2
26	речь идет о	2	2
