N	2gram	Berdyaev_O_1	Hudozhes
1	и в	19	28
2	том что	2	19
3	в ее	2	18
4	и не	13	18
5	в том	5	15
6	а не	11	14
7	не в	11	13
8	в этом	12	13
9	о том	3	12
10	как и	6	11
11	в его	7	11
12	не только	11	11
13	но и	13	9
14	в себе	3	9
15	в душе	2	8
16	что он	3	8
17	может быть	11	8
18	так и	2	8
19	жизни в	2	7
20	и все	10	7
21	с ним	3	7
22	это не	3	6
23	то что	5	6
24	в своей	2	6
25	не было	9	6
26	а в	5	6
27	и с	2	6
28	тем что	2	6
29	с его	4	5
30	у него	22	5
31	в своем	2	5
32	как бы	3	5
33	в этой	5	5
34	что в	4	5
35	в самом	5	5
36	никогда не	9	5
37	и его	4	5
38	одно из	2	5
39	для него	5	5
40	ничего не	2	5
41	своей жизни	2	4
42	что они	2	4
43	для того	3	4
44	и о	2	4
45	он не	7	4
46	что и	2	4
47	не может	4	4
48	человека в	11	4
49	того чтобы	4	4
50	в других	2	4
51	в человеке	9	3
52	человека и	10	3
53	что все	2	3
54	прежде всего	9	3
55	в нем	10	3
56	и ее	3	3
57	все что	3	3
58	еще не	3	3
59	было бы	3	3
60	не все	2	3
61	в этих	3	3
62	все это	6	3
63	и он	8	3
64	и на	2	3
65	что у	2	3
66	к нему	3	3
67	он сам	4	2
68	т е	4	2
69	и от	3	2
70	о его	5	2
71	о любви	2	2
72	человеческих отношений	4	2
73	мысль о	2	2
74	что не	4	2
75	и к	2	2
76	к ней	2	2
77	это было	3	2
78	все же	2	2
79	отношение к	5	2
80	ни с	7	2
81	что же	2	2
82	мысли и	3	2
83	потребность в	2	2
84	о которой	2	2
85	лишь в	7	2
86	хотя бы	3	2
87	и для	2	2
88	о боге	4	2
89	и то	2	2
90	сказать что	2	2
91	потому что	9	2
92	личности и	2	2
93	в другом	2	2
94	его в	2	2
95	нет ничего	7	2
96	но в	2	2
