N	2gram	Vygotskiy__3	Problema
1	то что	15	42
2	и в	25	32
3	и не	10	31
4	не есть	3	29
5	не менее	6	19
6	в этом	14	19
7	тем не	5	18
8	не только	6	17
9	потому что	6	16
10	по себе	7	15
11	в виде	3	15
12	в себе	2	15
13	как бы	10	14
14	может быть	13	14
15	указывает на	2	14
16	в нем	2	13
17	сказать что	4	13
18	что мы	7	13
19	что в	17	12
20	том что	20	12
21	так и	5	12
22	о том	5	11
23	так как	12	11
24	если мы	3	11
25	ничего общего	3	11
26	то же	2	10
27	прежде всего	4	10
28	в этой	5	10
29	отнюдь не	4	10
30	об этом	2	10
31	но не	6	9
32	в том	23	9
33	но и	4	9
34	и что	10	9
35	так же	17	9
36	по своему	11	9
37	еще не	4	9
38	того чтобы	8	9
39	в таком	2	9
40	и это	4	9
41	на то	4	8
42	не может	6	8
43	все эти	7	8
44	и на	6	8
45	было бы	10	8
46	в своей	2	8
47	для того	7	8
48	но это	5	8
49	никогда не	4	7
50	ни в	9	7
51	смысле слова	2	7
52	такого рода	2	7
53	все это	6	7
54	того что	10	7
55	всех этих	2	7
56	в них	2	7
57	и все	4	7
58	что он	6	7
59	как мы	8	7
60	во всяком	4	7
61	тем что	8	7
62	только в	10	7
63	так что	2	6
64	и как	5	6
65	при этом	5	6
66	в самом	3	6
67	предметов и	4	6
68	хотя и	2	6
69	то и	4	6
70	таким образом	17	6
71	и здесь	2	6
72	но как	3	6
73	и то	2	6
74	его в	3	6
75	как это	7	6
76	этом смысле	2	6
77	в то	4	6
78	в его	15	6
79	перед нами	10	5
80	можно ли	2	5
81	в своем	4	5
82	или иной	3	5
83	для нас	2	5
84	мы уже	5	5
85	той или	2	5
86	в котором	3	5
87	что она	5	5
88	мы должны	6	5
89	и которые	3	5
90	с тем	16	5
91	не является	8	5
92	то в	3	5
93	связи с	9	5
94	именно в	5	4
95	тому что	2	4
96	не в	6	4
97	мы и	2	4
98	один из	6	4
99	на том	3	4
100	мы говорили	4	4
101	для обозначения	2	4
102	и только	2	4
103	мышления и	23	4
104	или в	2	4
105	а в	4	4
106	предметы в	2	4
107	их в	3	4
108	ни на	2	4
109	как он	3	4
110	с которыми	3	4
111	если бы	5	4
112	же в	2	4
113	а также	2	4
114	как в	9	4
115	входит в	5	4
116	тем самым	2	4
117	и для	2	4
118	функции в	2	4
119	мы можем	7	4
120	в связи	6	4
121	уже в	7	3
122	что это	5	3
123	в этих	2	3
124	в отношении	6	3
125	с другой	6	3
126	но все	2	3
127	что они	10	3
128	всяком случае	4	3
129	из них	4	3
130	другой стороны	3	3
131	для этого	2	3
132	и его	2	3
133	что оно	4	3
134	в которых	3	3
135	с этим	4	3
136	точки зрения	6	3
137	с ним	4	3
138	по этому	3	3
139	и во	2	3
140	в жизни	3	3
141	говорит и	2	3
142	в случае	3	3
143	ясно что	2	3
144	как и	15	3
145	только потому	2	3
146	того же	6	3
147	есть и	2	3
148	мы увидим	4	3
149	мы в	2	3
150	к тому	4	3
151	он не	4	3
152	мы никогда	2	3
153	сами по	3	3
154	оно не	2	3
155	или менее	3	3
156	того как	3	3
157	уже не	2	3
158	на этот	2	3
159	что понятие	4	3
160	можно было	6	3
161	в каком	2	3
162	как оно	3	3
163	в чем	2	3
164	которые не	4	3
165	значит что	4	3
166	не могут	4	2
167	все время	2	2
168	мы будем	2	2
169	же как	6	2
170	в общей	2	2
171	которые являются	2	2
172	одного и	4	2
173	мы называем	2	2
174	как они	2	2
175	это мы	2	2
176	и понятие	2	2
177	но только	3	2
178	является не	2	2
179	он стоит	2	2
180	не стоит	2	2
181	для него	5	2
182	на его	2	2
183	в него	3	2
184	на этой	5	2
185	является то	7	2
186	только после	2	2
187	понятие и	2	2
188	которых мы	2	2
189	должно быть	2	2
190	от всех	2	2
191	в результате	3	2
192	не как	3	2
193	эти последние	2	2
194	из этих	4	2
195	того или	2	2
196	который мы	2	2
197	мы имеем	4	2
198	между тем	3	2
199	от другого	2	2
200	говорили выше	2	2
201	с его	2	2
202	могут быть	5	2
203	однако в	2	2
204	в понятии	5	2
205	или иного	2	2
206	конечно в	2	2
207	и заключается	2	2
208	на первый	2	2
209	для всего	2	2
210	и того	4	2
211	мы видим	3	2
212	в качестве	12	2
213	и может	2	2
214	со всеми	6	2
215	и потому	2	2
216	и особенно	2	2
217	всем этом	2	2
218	не будет	2	2
219	вместе с	14	2
220	только что	2	2
221	мы не	9	2
222	или иначе	2	2
223	с другими	2	2
224	тому как	2	2
225	понятия и	3	2
226	говорили что	2	2
227	является в	3	2
228	на себя	2	2
229	тем и	4	2
230	и другое	5	2
231	которые в	3	2
232	едва ли	2	2
233	в области	7	2
234	в эту	2	2
235	это обобщение	3	2
236	не можем	3	2
