N	2gram	Berdyaev_O_1	Mirosoze
1	и в	19	46
2	у достоевского	19	34
3	в нем	10	22
4	у него	22	22
5	может быть	11	21
6	в этом	12	20
7	никогда не	9	18
8	для него	5	18
9	и не	13	18
10	не только	11	18
11	есть лишь	4	17
12	во имя	3	16
13	но и	13	15
14	не может	4	15
15	человека в	11	14
16	как и	6	13
17	не есть	2	13
18	иван карамазов	2	13
19	а не	11	13
20	прежде всего	9	12
21	к человеку	9	12
22	потому что	9	12
23	все дозволено	2	11
24	не было	9	11
25	но он	7	11
26	и он	8	11
27	но в	2	10
28	он не	7	10
29	в себе	3	10
30	он был	8	9
31	не в	11	9
32	достоевский был	3	9
33	любовь к	2	8
34	и есть	3	8
35	человека к	2	8
36	как бы	3	8
37	в своем	2	8
38	для достоевского	5	8
39	до глубины	2	8
40	так как	2	8
41	отношение к	5	8
42	на земле	4	8
43	человека и	10	7
44	в этой	5	7
45	человеческой природы	20	7
46	русского человека	5	7
47	человек не	7	7
48	что он	3	7
49	и к	2	7
50	человеческой личности	6	7
51	ивана карамазова	7	7
52	и потому	2	7
53	хотя бы	3	7
54	и для	2	7
55	он сам	4	6
56	вопрос о	10	6
57	достоевского есть	4	6
58	в бесах	3	6
59	того что	3	6
60	и там	2	6
61	в русской	3	6
62	что все	2	5
63	и вот	3	5
64	совсем не	2	5
65	в самом	5	5
66	человеческого духа	3	5
67	достоевского к	2	5
68	это не	3	5
69	достоевский раскрывает	5	5
70	и все	10	5
71	достоевский не	4	5
72	то что	5	5
73	в своей	2	5
74	для того	3	5
75	и его	4	5
76	в его	7	5
77	что в	4	4
78	все что	3	4
79	до конца	7	4
80	только и	4	4
81	что у	2	4
82	свободы и	2	4
83	не имеет	2	4
84	мити карамазова	2	4
85	с его	4	4
86	том что	2	4
87	к гибели	3	4
88	что и	2	4
89	так и	2	4
90	т е	4	4
91	того чтобы	4	4
92	ума и	2	4
93	можно ли	2	3
94	и от	3	3
95	в том	5	3
96	что они	2	3
97	и нет	2	3
98	момент в	2	3
99	и против	2	3
100	влечет к	3	3
101	жизни в	2	3
102	творчество достоевского	2	3
103	и никогда	2	3
104	человека есть	2	3
105	в своих	3	3
106	и на	2	3
107	сказать что	2	3
108	и с	2	3
109	о том	3	3
110	его в	2	3
111	нет ничего	7	3
112	в россии	5	3
113	с ним	3	3
114	достоевского не	4	3
115	в подростке	2	3
116	и ивана	2	3
117	русский человек	4	3
118	о бессмертии	4	3
119	самого достоевского	3	3
120	человеку и	5	3
121	в глубине	7	3
122	со злом	3	3
123	для человека	2	3
124	тем что	2	3
125	он в	2	3
126	те которые	2	3
127	в творчестве	5	3
128	взял все	2	2
129	уже в	2	2
130	в страдании	2	2
131	в этих	3	2
132	всегда есть	4	2
133	быть может	3	2
134	в человеке	9	2
135	что человек	3	2
136	человека его	3	2
137	так что	2	2
138	подполья и	3	2
139	и любовь	2	2
140	из подполья	11	2
141	хотя и	2	2
142	этом он	2	2
143	к нему	3	2
144	великом инквизиторе	6	2
145	иваном карамазовым	2	2
146	что есть	2	2
147	как к	2	2
148	достоевский открывает	2	2
149	человеческую природу	2	2
150	достоевского и	5	2
151	лишь в	7	2
152	должно быть	2	2
153	его не	2	2
154	а в	5	2
155	личности и	2	2
156	герои достоевского	4	2
157	было для	2	2
158	человек и	4	2
159	свобода и	2	2
160	природы в	2	2
161	о великом	6	2
162	него и	4	2
163	ничего кроме	2	2
164	добро и	2	2
165	по себе	2	2
166	в дневнике	2	2
167	чем в	2	2
168	достоевского нет	2	2
169	мысль о	2	2
170	к ней	2	2
171	нем нет	3	2
172	дневнике писателя	2	2
173	ее в	2	2
174	русского духа	4	2
175	что же	2	2
176	что не	4	2
177	достоевским и	2	2
178	раскрывает достоевский	2	2
179	он лишь	3	2
180	достоевского в	3	2
181	в идиоте	4	2
182	и этим	2	2
183	в которой	2	2
184	ничего не	2	2
185	много раз	2	2
