N	2gram	Propp_Isto_2	Formalny
1	т е	29	32
2	и не	11	30
3	и в	15	27
4	может быть	17	25
5	не может	5	24
6	так и	5	21
7	и его	3	19
8	таким образом	7	18
9	в этом	11	18
10	а не	5	17
11	самом деле	2	16
12	и пр	7	15
13	в нем	7	15
14	то же	10	15
15	на самом	2	14
16	как и	2	14
17	не в	7	12
18	в жизни	2	11
19	и т	19	11
20	но и	14	10
21	так как	14	9
22	не только	18	9
23	так же	13	9
24	что в	12	8
25	ни в	2	8
26	при этом	4	8
27	как бы	6	8
28	то что	12	8
29	только в	6	8
30	в том	6	7
31	все это	3	7
32	потому что	9	7
33	его в	10	7
34	с тем	9	7
35	в его	6	7
36	с другой	2	6
37	т д	18	6
38	все эти	4	6
39	но в	6	6
40	что он	24	6
41	еще не	9	6
42	было бы	5	6
43	все же	9	6
44	хотя бы	2	6
45	и для	2	6
46	и ее	2	6
47	вместе с	7	6
48	никогда не	15	5
49	что они	10	5
50	того чтобы	2	5
51	и их	2	5
52	другой стороны	2	5
53	в одной	4	5
54	в ней	4	5
55	но не	2	5
56	тому как	3	5
57	тем что	4	5
58	связи с	8	5
59	так сказать	2	5
60	уже в	2	4
61	материал в	2	4
62	прежде всего	5	4
63	к тому	5	4
64	мы знаем	11	4
65	он был	3	4
66	да и	2	4
67	же и	3	4
68	мы видели	2	4
69	в связи	5	4
70	они не	4	4
71	о том	3	4
72	как это	3	4
73	мы можем	8	4
74	том что	7	4
75	она не	5	4
76	как в	5	4
77	роль в	3	4
78	мы не	3	4
79	могут быть	2	4
80	подобно тому	3	4
81	же как	5	3
82	что это	6	3
83	в этих	11	3
84	его и	4	3
85	это не	2	3
86	для нас	4	3
87	совершается в	2	3
88	того что	3	3
89	в него	2	3
90	в виду	2	3
91	к материалу	2	3
92	по отношению	3	3
93	той же	2	3
94	и что	6	3
95	в которых	2	3
96	и на	4	3
97	их в	2	3
98	сказать что	2	3
99	и с	4	3
100	он и	3	3
101	и более	2	3
102	мы уже	6	3
103	во всех	2	3
104	о нем	4	3
105	отношению к	3	3
106	ее в	2	3
107	то мы	2	3
108	в себе	4	3
109	он является	2	2
110	главным образом	2	2
111	всех этих	3	2
112	но это	4	2
113	такой же	2	2
114	в этой	4	2
115	является не	2	2
116	в каких	3	2
117	нам важно	2	2
118	но если	3	2
119	в котором	5	2
120	и др	4	2
121	был бы	2	2
122	из них	2	2
123	дело не	4	2
124	что она	5	2
125	и только	2	2
126	эта связь	3	2
127	увидим что	3	2
128	знаем что	12	2
129	уже знаем	3	2
130	из этих	3	2
131	как он	3	2
132	к которому	5	2
133	нисколько не	2	2
134	видели что	3	2
135	смысле этого	2	2
136	превращается в	2	2
137	говорят о	2	2
138	с ее	2	2
139	одна из	2	2
140	не знают	2	2
141	мы увидим	8	2
142	мы должны	4	2
143	одной из	4	2
144	и из	2	2
145	или на	4	2
146	в сущности	2	2
147	в основном	2	2
148	что и	6	2
149	и именно	2	2
150	так в	3	2
151	это только	2	2
152	всех сторон	4	2
153	человека в	2	2
154	что этот	3	2
155	и это	3	2
156	самый факт	2	2
157	здесь не	2	2
158	ничего не	7	2
159	в эту	2	2
