N	2gram	Ircho_Kome_1	SlovoVZh
1	не может	2	16
2	точки зрения	4	14
3	может быть	9	14
4	и его	8	13
5	таким образом	8	12
6	и в	22	12
7	отношению к	3	11
8	по отношению	3	11
9	и не	8	10
10	так как	4	9
11	прежде всего	5	8
12	в нем	4	6
13	при этом	5	6
14	в том	11	6
15	только в	3	6
16	то что	2	5
17	то же	6	5
18	как и	9	5
19	том что	12	5
20	как в	5	5
21	но в	4	5
22	ни было	2	4
23	все же	3	4
24	отношение к	3	4
25	так и	5	4
26	с другой	5	4
27	не в	6	4
28	в этом	3	4
29	и на	3	4
30	его в	3	4
31	в самом	2	4
32	к нему	2	4
33	за пределы	2	4
34	не только	10	4
35	в котором	4	3
36	в них	3	3
37	бы то	2	3
38	не к	2	3
39	не менее	3	3
40	сих пор	2	3
41	все это	5	3
42	то ни	2	3
43	и по	6	3
44	ясно что	4	3
45	но и	11	3
46	точек зрения	2	3
47	тем не	2	3
48	ни в	6	3
49	да и	3	3
50	так же	3	3
51	мы не	3	3
52	и с	3	3
53	о том	8	3
54	и ее	3	3
55	в себе	2	3
56	до сих	2	3
57	еще не	2	3
58	между тем	5	3
59	место в	3	2
60	уже в	5	2
61	что и	4	2
62	независимо от	2	2
63	что в	6	2
64	на все	2	2
65	вместе с	2	2
66	а к	2	2
67	на него	4	2
68	в форме	2	2
69	в отношении	6	2
70	другой стороны	5	2
71	и все	3	2
72	тому же	6	2
73	с одной	3	2
74	к этому	4	2
75	в себя	2	2
76	едва ли	7	2
77	и здесь	2	2
78	же самое	2	2
79	и притом	2	2
80	но это	2	2
81	такой же	2	2
82	тем как	2	2
83	мы можем	4	2
84	но не	2	2
85	могут быть	3	2
86	до конца	2	2
87	в то	10	2
88	одной стороны	3	2
89	в чем	3	2
90	как это	3	2
91	ничего не	3	2
92	он не	3	2
93	в его	5	2
94	относится к	2	2
