N	2gram	Tiupa_Disk_1	Formalny
1	и не	11	30
2	и в	16	27
3	может быть	17	25
4	не может	9	24
5	так и	8	21
6	и его	2	19
7	таким образом	3	18
8	в этом	15	18
9	а не	22	17
10	точки зрения	3	16
11	в нем	9	15
12	в процессе	5	15
13	то же	7	15
14	как и	16	14
15	не в	7	12
16	в самом	3	11
17	но и	14	10
18	в действительности	3	9
19	лишь в	4	9
20	как его	2	9
21	не только	28	9
22	что в	4	8
23	при этом	13	8
24	в пределах	2	8
25	как бы	5	8
26	отнюдь не	8	8
27	и все	2	8
28	то что	5	8
29	как мы	2	8
30	только в	7	8
31	не менее	2	7
32	в том	23	7
33	же время	4	7
34	потому что	4	7
35	в то	3	7
36	между тем	4	7
37	в его	7	7
38	с другой	10	6
39	в своих	3	6
40	но в	8	6
41	в литературе	2	6
42	что он	4	6
43	более того	2	6
44	еще не	14	6
45	все же	3	6
46	в своей	5	6
47	хотя бы	3	6
48	в данном	5	6
49	во всяком	2	6
50	и ее	2	6
51	никогда не	2	5
52	в каждом	2	5
53	не является	4	5
54	высказывания и	2	5
55	другой стороны	3	5
56	в одной	3	5
57	в литературу	2	5
58	и понимание	2	5
59	в истории	4	5
60	но не	11	5
61	и потому	3	5
62	что же	2	5
63	сводится к	5	5
64	тому как	3	5
65	тем что	3	5
66	связи с	4	5
67	так сказать	2	5
68	уже в	2	4
69	прежде всего	11	4
70	к тому	5	4
71	и как	6	4
72	в целом	4	4
73	литературного произведения	3	4
74	данном случае	2	4
75	со стороны	7	4
76	они не	2	4
77	о том	8	4
78	между собой	2	4
79	по себе	3	4
80	не есть	2	4
81	в ее	3	4
82	том что	19	4
83	на ее	2	4
84	как в	10	4
85	роль в	7	4
86	могут быть	4	4
87	подобно тому	2	4
88	произведение в	2	4
89	в какой	2	3
90	столь же	3	3
91	это не	3	3
92	вследствие этого	3	3
93	можно сказать	5	3
94	того что	3	3
95	имеет место	3	3
96	одним из	2	3
97	в виду	2	3
98	и тем	2	3
99	в эпоху	5	3
100	по отношению	9	3
101	и что	2	3
102	в которых	4	3
103	и на	5	3
104	не следует	2	3
105	сказать что	3	3
106	в основе	7	3
107	к его	2	3
108	жизни в	2	3
109	в них	4	3
110	они и	3	3
111	того же	3	3
112	же самое	2	3
113	во всех	5	3
114	о нем	2	3
115	еще в	3	3
116	оно не	2	3
117	отношению к	9	3
118	жанра и	2	3
119	дело с	2	3
120	в произведении	3	3
121	целого высказывания	3	3
122	может и	2	3
123	уже не	4	3
124	героя в	2	3
125	в себе	7	3
126	в сторону	4	2
127	или иной	5	2
128	становления и	2	2
129	в этой	2	2
130	на этом	2	2
131	общения и	2	2
132	к другому	2	2
133	совпадает с	2	2
134	известной степени	2	2
135	в котором	5	2
136	и др	2	2
137	из них	3	2
138	дело не	2	2
139	отличается от	2	2
140	в своем	6	2
141	отношения к	2	2
142	и даже	3	2
143	принадлежат к	3	2
144	одну из	2	2
145	бы быть	3	2
146	автор и	3	2
147	к которому	2	2
148	возможно только	2	2
149	с его	4	2
150	жанра в	4	2
151	однако в	3	2
152	это понятие	3	2
153	не как	4	2
154	и во	2	2
155	но при	3	2
156	к этому	2	2
157	стороны и	2	2
158	с ее	2	2
159	в данной	3	2
160	не от	2	2
161	одной из	4	2
162	или на	3	2
163	в сущности	2	2
164	за пределы	2	2
165	сами по	2	2
166	не могло	2	2
167	что и	3	2
168	как не	3	2
169	внутренней речи	2	2
170	в отличие	5	2
171	жанр и	3	2
172	человека в	2	2
173	как их	2	2
174	жанров в	3	2
175	неотделимо от	3	2
176	на протяжении	2	2
177	героя и	2	2
178	отличие от	5	2
179	для художественного	2	2
