N	2gram	Berdyaev_V_1	Tragedij
1	и в	16	18
2	в этом	4	9
3	не только	2	8
4	и не	20	7
5	как бы	5	7
6	в образе	4	6
7	что он	4	6
8	но в	3	6
9	так и	4	5
10	это не	2	5
11	как и	4	5
12	но и	5	4
13	то что	9	4
14	что в	3	4
15	все это	5	4
16	прежде всего	2	4
17	и все	4	4
18	в нем	4	4
19	том что	2	4
20	но это	3	4
21	что я	3	4
22	и что	3	4
23	еще не	8	4
24	один из	2	3
25	к людям	6	3
26	в конце	3	3
27	все эти	3	3
28	должно быть	3	3
29	в его	4	3
30	для него	2	3
31	и сам	2	3
32	в мире	5	3
33	с ним	2	3
34	смысл жизни	2	3
35	не имеет	3	2
36	не могут	2	2
37	что и	3	2
38	в силах	4	2
39	и за	2	2
40	что все	4	2
41	и я	4	2
42	уже не	2	2
43	бы и	3	2
44	с его	3	2
45	к тому	3	2
46	не так	2	2
47	ни в	3	2
48	в том	3	2
49	не в	3	2
50	и то	2	2
51	одна из	2	2
52	потому что	4	2
53	с тем	2	2
54	тем что	2	2
55	личности и	3	2
56	ивана карамазова	2	2
57	и это	2	2
58	никогда не	3	2
