N	2gram	Potebnia_M_4	Otkroven
1	о человеке	3	29
2	человеческой природы	2	20
3	и в	23	19
4	но и	11	13
5	и не	18	13
6	в этом	23	12
7	а не	12	11
8	не в	11	11
9	человека в	2	11
10	может быть	26	11
11	не только	10	11
12	человека и	3	10
13	и все	4	10
14	вопрос о	2	10
15	в нем	7	10
16	никогда не	3	9
17	не было	12	9
18	в самой	2	9
19	потому что	33	9
20	лишь в	3	7
21	человек не	2	7
22	от него	2	7
23	нет ничего	3	7
24	он не	2	7
25	в его	5	7
26	все это	5	6
27	как и	14	6
28	то что	29	5
29	а в	5	5
30	отношение к	2	5
31	в том	23	5
32	для него	5	5
33	в самом	3	5
34	и мысли	2	4
35	того чтобы	4	4
36	что не	6	4
37	есть лишь	2	4
38	все в	2	4
39	и его	2	4
40	все эти	3	4
41	не может	11	4
42	что в	17	4
43	к нему	5	3
44	не могут	2	3
45	человеческого духа	6	3
46	в этих	3	3
47	и есть	3	3
48	мысли и	7	3
49	это не	7	3
50	что он	4	3
51	того что	14	3
52	для того	6	3
53	что человек	3	3
54	хотя бы	4	3
55	в своих	2	3
56	быть может	4	3
57	еще не	3	3
58	могут быть	7	3
59	все что	2	3
60	в себе	14	3
61	было бы	8	3
62	никто не	2	3
63	о том	8	3
64	с ним	5	3
65	как бы	5	3
66	это было	2	3
67	уже в	5	2
68	что и	7	2
69	не есть	9	2
70	и для	2	2
71	с тем	7	2
72	в истории	4	2
73	природы и	2	2
74	так и	6	2
75	в своем	8	2
76	что у	3	2
77	для человека	4	2
78	что есть	3	2
79	что же	5	2
80	что все	4	2
81	по себе	11	2
82	и к	6	2
83	ко всем	3	2
84	не имеет	5	2
85	должно быть	5	2
86	человека а	2	2
87	в ее	2	2
88	в которой	6	2
89	в других	2	2
90	том что	12	2
91	так что	5	2
92	и на	3	2
93	и то	5	2
94	сказать что	8	2
95	и с	4	2
96	чем в	2	2
97	тем что	10	2
98	даже и	3	2
99	мысль о	6	2
100	его в	4	2
101	так как	14	2
102	и о	4	2
103	и из	3	2
104	хотя и	5	2
105	к ней	2	2
106	но в	8	2
107	и потому	10	2
