N	2gram	Bakhtin_Pr_2	Komedia
1	и в	43	26
2	и не	29	14
3	к тому	4	12
4	так и	3	12
5	и его	8	12
6	в том	6	11
7	тому же	3	11
8	может быть	23	11
9	но и	14	10
10	в этом	13	10
11	что в	4	9
12	том что	2	9
13	если бы	3	9
14	было бы	5	8
15	и на	10	7
16	из них	2	7
17	не только	11	7
18	что и	3	7
19	на себя	2	7
20	в своем	4	6
21	во время	4	6
22	то что	7	6
23	еще не	9	6
24	в нем	12	6
25	и здесь	3	6
26	в то	7	6
27	о том	5	6
28	таким образом	5	6
29	с его	4	5
30	что он	13	5
31	а затем	2	5
32	ни в	2	5
33	с этим	2	5
34	так что	5	5
35	и с	5	5
36	уже в	2	4
37	не менее	3	4
38	у него	6	4
39	в этих	6	4
40	в них	4	4
41	что у	2	4
42	прежде всего	10	4
43	из этих	2	4
44	как мы	10	4
45	как и	14	4
46	в целом	2	4
47	с их	2	4
48	хотя и	5	4
49	в его	10	4
50	все же	3	4
51	в самом	7	4
52	и для	3	4
53	можно было	3	4
54	точки зрения	13	4
55	в руках	2	4
56	только в	4	4
57	что это	2	4
58	так как	4	4
59	на этот	4	4
60	его в	3	4
61	между тем	3	4
62	это слово	5	4
63	в каждом	11	3
64	в образе	2	3
65	вопрос о	2	3
66	то время	2	3
67	что на	2	3
68	отношению к	5	3
69	но все	2	3
70	но не	5	3
71	того же	3	3
72	во всех	4	3
73	же время	5	3
74	здесь в	3	3
75	для нас	2	3
76	и сам	7	3
77	например в	2	3
78	да и	5	3
79	в котором	6	3
80	и особенно	2	3
81	себя в	3	3
82	в своей	4	3
83	и их	3	3
84	в их	3	3
85	все это	5	3
86	по отношению	5	3
87	того как	2	3
88	той же	3	3
89	то же	8	3
90	как в	2	3
91	в самой	4	3
92	к нему	5	3
93	а в	5	3
94	или в	8	3
95	человека в	4	3
96	тем что	3	3
97	не может	18	3
98	как он	2	3
99	но в	10	3
100	мы можем	2	3
101	реакции на	3	2
102	ни было	2	2
103	с другой	4	2
104	это не	3	2
105	в одной	3	2
106	в конце	2	2
107	в одном	12	2
108	этом смысле	2	2
109	затем и	2	2
110	с собой	4	2
111	вовсе не	5	2
112	то это	2	2
113	и к	3	2
114	об этом	2	2
115	он был	3	2
116	не в	11	2
117	из его	2	2
118	до сих	7	2
119	одна из	2	2
120	тот же	3	2
121	по своему	2	2
122	сюжета в	2	2
123	наконец в	3	2
124	он не	9	2
125	друг с	4	2
126	как бы	22	2
127	время как	2	2
128	даже в	3	2
129	хотя бы	2	2
130	и т	13	2
131	и это	4	2
132	отношение к	2	2
133	сказать о	2	2
134	сих пор	7	2
135	целый ряд	2	2
136	в отличие	4	2
137	т п	9	2
138	еще более	2	2
139	в той	5	2
140	и что	5	2
141	бы и	2	2
142	рядом с	5	2
143	отличие от	4	2
144	мы не	4	2
145	с ними	2	2
146	во всяком	2	2
147	теперь в	3	2
148	и ее	3	2
149	и еще	2	2
150	с другом	4	2
151	и все	6	2
152	в первом	2	2
153	бы в	5	2
154	в виду	3	2
155	же не	4	2
