N	2gram	Berdyaev_M_1	Narrotol
1	не только	29	31
2	но и	25	27
3	и не	11	23
4	может быть	30	15
5	как и	5	13
6	а не	25	13
7	а в	4	13
8	только в	6	12
9	в этом	20	12
10	и в	28	11
11	и его	9	10
12	то что	5	9
13	то есть	3	9
14	в том	6	8
15	не может	28	8
16	уже не	4	8
17	если бы	2	7
18	у него	17	7
19	том что	3	7
20	на протяжении	2	7
21	но в	7	7
22	к тому	3	6
23	не в	16	6
24	и он	12	6
25	в самом	11	6
26	не мог	3	6
27	как бы	2	6
28	один из	4	6
29	жизни и	2	6
30	в себе	7	6
31	в его	9	6
32	в этой	6	6
33	в своей	15	5
34	и на	6	5
35	потому что	16	5
36	точки зрения	4	5
37	с его	3	4
38	о чем	2	4
39	никогда не	14	4
40	все же	2	4
41	для него	11	4
42	но не	8	4
43	прежде всего	10	4
44	к нему	7	4
45	в ней	15	4
46	в нем	13	4
47	в мире	10	4
48	как в	2	4
49	того что	7	4
50	того чтобы	2	4
51	истории в	2	4
52	в то	2	4
53	о том	2	4
54	не существует	2	3
55	он сам	6	3
56	что в	10	3
57	в своем	10	3
58	это не	5	3
59	в жизни	3	3
60	что он	10	3
61	у нас	5	3
62	и как	2	3
63	в начале	2	3
64	для того	2	3
65	он не	24	3
66	о нем	2	3
67	еще в	2	3
68	отношению к	2	3
69	по отношению	2	3
70	в центре	2	3
71	быть не	2	3
72	не было	18	3
73	лишь в	6	3
74	к чему	2	3
75	также и	2	3
76	и с	3	3
77	как будто	2	3
78	и все	10	3
79	для них	3	2
80	о своей	2	2
81	в этих	4	2
82	в конце	7	2
83	в свою	2	2
84	истории он	2	2
85	она может	2	2
86	по своему	2	2
87	все что	2	2
88	до конца	14	2
89	до сих	2	2
90	она не	4	2
91	он уже	6	2
92	не имеет	3	2
93	хотя бы	3	2
94	себя в	3	2
95	вместе с	6	2
96	сих пор	2	2
97	заключает в	3	2
98	человеческой жизни	2	2
99	жизни в	2	2
100	входит в	2	2
101	и сама	2	2
102	человеческого сознания	2	2
103	человека в	13	2
104	и вот	3	2
105	в той	2	2
106	и для	2	2
107	особенно в	3	2
108	ничего не	3	2
109	сказать что	2	2
110	и от	2	2
111	он и	2	2
112	и еще	3	2
113	с ним	2	2
