N	2gram	Losev_Vlad_2	Mirosoze
1	у достоевского	2	42
2	может быть	7	30
3	не только	12	29
4	и в	30	28
5	не может	9	28
6	но и	8	25
7	а не	7	25
8	он не	4	24
9	в этом	20	20
10	не было	10	18
11	у него	19	17
12	не в	9	16
13	потому что	9	16
14	в ней	4	15
15	в своей	5	15
16	и есть	2	14
17	никогда не	7	14
18	он был	6	14
19	до конца	7	14
20	в нем	4	13
21	и он	4	12
22	и это	3	12
23	для него	9	11
24	в самом	2	11
25	и не	18	11
26	что в	12	10
27	в своем	8	10
28	прежде всего	6	10
29	и все	7	10
30	человек не	2	10
31	что он	13	10
32	было бы	9	10
33	и потому	2	10
34	но он	3	9
35	с тем	2	9
36	в его	11	9
37	не есть	4	9
38	и его	6	9
39	но не	3	8
40	в котором	5	8
41	не был	2	7
42	того что	5	7
43	в конце	13	7
44	но в	8	7
45	нет ничего	3	7
46	бог и	2	7
47	к нему	2	7
48	в себе	6	7
49	он сам	2	6
50	в том	18	6
51	в этой	4	6
52	все это	5	6
53	и на	4	6
54	он уже	5	6
55	вместе с	8	6
56	только в	6	6
57	в которой	4	6
58	это не	2	5
59	и я	5	5
60	у нас	6	5
61	как и	5	5
62	то что	20	5
63	уже в	3	4
64	в этих	4	4
65	с этой	4	4
66	хотел бы	2	4
67	отношение к	4	4
68	ни с	2	4
69	был в	2	4
70	в их	2	4
71	отношения к	3	4
72	и по	2	4
73	а в	11	4
74	точки зрения	7	4
75	должен был	3	4
76	в них	3	4
77	к концу	5	4
78	она не	2	4
79	к ней	3	4
80	что и	3	4
81	уже не	3	4
82	и вот	3	3
83	к тому	2	3
84	для нас	7	3
85	это значит	2	3
86	достоевского но	2	3
87	не мог	8	3
88	только одно	3	3
89	только и	3	3
90	не имеет	2	3
91	должно быть	3	3
92	его не	2	3
93	с этим	5	3
94	его в	4	3
95	так как	5	3
96	то есть	7	3
97	и с	14	3
98	на этом	2	3
99	с его	4	3
100	вера в	2	3
101	том что	12	3
102	которая есть	2	3
103	учение о	3	3
104	есть и	2	3
105	ничего не	2	3
106	конечно не	4	3
107	себя в	2	3
108	будто бы	2	3
109	хотя бы	3	3
110	по своему	2	2
111	и от	2	2
112	в свою	3	2
113	о чем	6	2
114	для того	2	2
115	и мы	4	2
116	он никогда	2	2
117	на этот	4	2
118	в виду	2	2
119	себе и	2	2
120	жизни и	6	2
121	я хотел	2	2
122	все эти	5	2
123	и что	5	2
124	время как	2	2
125	также и	6	2
126	сказать что	11	2
127	в более	2	2
128	которую он	7	2
129	даже и	3	2
130	он и	3	2
131	в начале	4	2
132	как бы	5	2
133	о том	4	2
134	как он	2	2
135	в россии	3	2
136	когда мы	3	2
137	с ним	5	2
138	с которой	2	2
139	к этой	2	2
140	него и	2	2
141	жизни в	2	2
142	и во	2	2
143	к этому	6	2
144	нет никаких	2	2
145	в то	9	2
146	то время	6	2
147	как будто	2	2
148	и к	6	2
149	о нем	2	2
150	еще в	2	2
151	все же	9	2
152	с ней	2	2
153	который был	2	2
154	как в	3	2
155	мысли и	2	2
156	разного рода	4	2
157	на земле	2	2
158	в той	2	2
159	и она	2	2
160	того чтобы	2	2
161	и как	3	2
162	и для	3	2
163	к этим	2	2
164	и нужно	2	2
165	конце концов	3	2
