N	2gram	Ircho_Kome_3	Problemy
1	и в	22	46
2	и не	21	27
3	может быть	6	23
4	как бы	3	19
5	не может	3	19
6	в нем	3	17
7	в этом	8	16
8	не только	5	14
9	но и	4	12
10	как и	3	12
11	как мы	2	12
12	и на	2	11
13	точки зрения	4	11
14	в одном	2	11
15	а не	4	11
16	не в	4	10
17	в пределах	2	10
18	между ними	2	10
19	прежде всего	5	9
20	в том	12	9
21	в самом	9	9
22	и все	2	9
23	вовсе не	4	9
24	и к	3	9
25	в его	8	9
26	с точки	3	9
27	до сих	9	8
28	конечно не	3	8
29	сих пор	9	8
30	и с	4	7
31	еще не	6	7
32	в сущности	2	7
33	как раз	6	7
34	в себе	4	7
35	никогда не	3	6
36	ни в	10	6
37	хотя и	5	6
38	друг друга	4	6
39	к себе	5	6
40	но в	5	6
41	что он	8	6
42	то же	7	6
43	все это	5	6
44	и он	2	6
45	и его	6	6
46	это не	2	5
47	же время	5	5
48	при этом	7	5
49	и сам	5	5
50	в котором	2	5
51	к нему	5	5
52	по отношению	5	5
53	в то	6	5
54	так как	11	5
55	с его	3	5
56	у него	4	5
57	за пределы	2	5
58	о том	8	5
59	если же	2	5
60	отношению к	3	5
61	во всех	2	5
62	если мы	2	5
63	уже в	2	4
64	что в	5	4
65	до конца	4	4
66	я ведь	2	4
67	к ним	3	4
68	в виду	2	4
69	в их	2	4
70	таким образом	12	4
71	людей и	2	4
72	потому что	10	4
73	он и	2	4
74	и здесь	4	4
75	мы не	2	4
76	мы можем	3	4
77	любовь к	3	4
78	не знает	3	4
79	как в	2	4
80	том что	13	4
81	совершенно не	2	4
82	он не	5	4
83	все же	4	4
84	то что	4	4
85	так и	4	4
86	приводит к	3	4
87	самом деле	6	4
88	на себя	4	4
89	здесь не	2	4
90	себя и	2	3
91	в отношении	4	3
92	с другой	4	3
93	человека и	2	3
94	не могут	2	3
95	на то	3	3
96	к своему	2	3
97	в мире	2	3
98	в своем	8	3
99	да что	2	3
100	одним из	2	3
101	но если	3	3
102	здесь нет	4	3
103	то это	5	3
104	и для	4	3
105	отношение к	5	3
106	другой стороны	2	3
107	так же	4	3
108	с помощью	4	3
109	и даже	3	3
110	в конце	7	3
111	как он	3	3
112	их в	3	3
113	бы в	4	3
114	но при	2	3
115	если бы	8	3
116	здесь и	2	3
117	не как	2	3
118	и во	2	3
119	по существу	2	3
120	того же	6	3
121	и что	6	3
122	она не	2	3
123	было бы	3	3
124	в своей	5	3
125	и о	2	3
126	что и	8	3
127	на него	4	3
128	тем же	3	3
129	тем что	5	3
130	в этой	3	3
131	далеко не	3	3
132	и это	2	3
133	и этим	3	3
134	отличие от	2	3
135	не менее	5	2
136	пор не	2	2
137	для понимания	2	2
138	к тому	6	2
139	все время	2	2
140	без всякого	2	2
141	в известной	2	2
142	так что	6	2
143	но все	4	2
144	и любовь	2	2
145	не дает	4	2
146	и мысли	3	2
147	целый ряд	2	2
148	отношения к	2	2
149	в других	3	2
150	не было	2	2
151	а в	7	2
152	в которых	5	2
153	в результате	2	2
154	остается в	2	2
155	что мы	2	2
156	с ним	5	2
157	между тем	2	2
158	а как	2	2
159	с этим	3	2
160	стороны и	2	2
161	не хочет	5	2
162	так я	2	2
163	раз в	2	2
164	в присутствии	2	2
165	все что	3	2
166	в произведениях	2	2
167	которую он	2	2
168	об этом	7	2
169	к ней	8	2
170	в свое	2	2
171	нет и	4	2
172	когда он	4	2
173	вместе с	9	2
174	при всем	2	2
175	бы не	2	2
176	все равно	3	2
177	на этот	3	2
178	хотя бы	4	2
179	можно было	2	2
180	ничего не	3	2
181	во всяком	3	2
182	в другом	2	2
