N	2gram	Losev_Vesc_1	Tvorches
1	и в	21	21
2	как бы	12	17
3	в то	3	15
4	в его	2	13
5	то же	6	13
6	что в	9	12
7	как и	8	12
8	том что	8	11
9	все это	5	10
10	то что	27	8
11	у него	2	7
12	в свою	4	7
13	в том	8	7
14	не только	36	7
15	и не	29	7
16	но в	5	7
17	и все	5	6
18	не менее	3	6
19	для него	4	6
20	в котором	3	6
21	а в	4	6
22	и его	2	6
23	в этом	4	6
24	о том	6	6
25	отнюдь не	5	5
26	вовсе не	10	5
27	а не	19	5
28	но это	10	5
29	может быть	16	5
30	в этой	3	5
31	все же	4	5
32	таким образом	8	5
33	хотя бы	6	5
34	потому что	16	5
35	только в	14	5
36	в своем	6	4
37	прежде всего	9	4
38	и как	8	4
39	один из	3	4
40	в своей	5	4
41	мысли и	3	4
42	не может	17	4
43	это не	5	4
44	не случайно	2	4
45	и от	3	4
46	никогда не	2	3
47	с другой	6	3
48	что все	2	3
49	я не	4	3
50	с ним	8	3
51	с ее	6	3
52	это и	6	3
53	что я	24	3
54	но не	5	3
55	в самом	9	3
56	той же	2	3
57	но если	8	3
58	в нем	2	3
59	и т	19	3
60	жизни и	2	3
61	но и	18	3
62	дело не	2	3
63	уже не	9	3
64	того что	8	3
65	и даже	6	3
66	вот почему	3	3
67	и с	8	3
68	хотя и	4	3
69	в россии	2	3
70	ту же	2	3
71	дело в	4	3
72	так как	7	3
73	я и	6	3
74	ни на	3	3
75	в основе	3	2
76	может не	2	2
77	перед нами	2	2
78	в настоящем	2	2
79	по крайней	4	2
80	в жизни	3	2
81	в с	2	2
82	есть не	14	2
83	можно сказать	6	2
84	что и	3	2
85	в в	2	2
86	крайней мере	4	2
87	а затем	2	2
88	об этом	3	2
89	так что	5	2
90	не в	5	2
91	то в	4	2
92	одна из	5	2
93	того же	5	2
94	не нужно	2	2
95	тот же	3	2
96	из них	4	2
97	действительности и	5	2
98	действительности в	2	2
99	в первой	2	2
100	к тому	3	2
101	только на	3	2
102	по преимуществу	2	2
103	себя как	2	2
104	по самому	3	2
105	общения с	23	2
106	в ней	12	2
107	к ней	2	2
108	и когда	4	2
109	ли в	3	2
110	из себя	3	2
111	когда я	5	2
112	себе не	3	2
113	и тем	3	2
114	тем не	3	2
115	не будет	12	2
116	но она	3	2
117	данном случае	2	2
118	так и	3	2
119	как к	4	2
120	и того	2	2
121	еще более	2	2
122	социальной действительности	4	2
123	в себя	13	2
124	мы находим	2	2
125	что она	15	2
126	но только	3	2
127	самом деле	4	2
128	что не	5	2
129	и у	3	2
130	и притом	3	2
131	только что	2	2
132	или в	2	2
133	свидетельствует о	3	2
134	сказать что	17	2
135	в первом	2	2
136	но он	2	2
137	в данном	5	2
138	в себе	14	2
139	при помощи	2	2
140	в чем	6	2
141	не то	4	2
142	значит что	24	2
143	в виду	2	2
