N	2gram	Vygotskiy__2	Narrotol
1	не только	15	31
2	но и	10	27
3	и не	7	23
4	при этом	3	19
5	может быть	9	15
6	в частности	6	14
7	в качестве	4	14
8	как и	6	13
9	а не	3	13
10	а в	4	13
11	только в	4	12
12	в этом	19	12
13	и в	15	11
14	в данном	3	11
15	состоит в	3	10
16	и его	4	10
17	то что	20	9
18	то же	5	8
19	в том	33	8
20	данном случае	3	8
21	со стороны	3	8
22	и т.п	7	8
23	не может	9	8
24	иначе говоря	2	8
25	представляет собой	2	8
26	если бы	8	7
27	у него	2	7
28	том что	27	7
29	на протяжении	2	7
30	но в	6	7
31	и т.д	12	6
32	к тому	7	6
33	об этом	3	6
34	а также	2	6
35	не в	8	6
36	в самом	11	6
37	как бы	7	6
38	как раз	4	6
39	или в	3	6
40	в себе	2	6
41	в его	2	6
42	в этой	6	6
43	перед нами	2	5
44	можно сказать	2	5
45	той или	2	5
46	точка зрения	3	5
47	в своей	4	5
48	так и	8	5
49	тем самым	3	5
50	столь же	2	5
51	потому что	7	5
52	точки зрения	26	5
53	с его	4	4
54	никогда не	8	4
55	из этих	4	4
56	к себе	2	4
57	или иной	2	4
58	что на	2	4
59	все же	4	4
60	для него	3	4
61	но не	3	4
62	прежде всего	4	4
63	и тем	2	4
64	из них	3	4
65	по себе	7	4
66	как в	4	4
67	того что	17	4
68	того чтобы	12	4
69	однако и	2	4
70	что у	3	4
71	о том	9	4
72	в одном	2	4
73	не существует	3	3
74	тому как	2	3
75	он сам	3	3
76	что в	14	3
77	в своем	9	3
78	это не	5	3
79	что он	12	3
80	идет о	3	3
81	и как	2	3
82	в начале	4	3
83	когда в	2	3
84	в целом	10	3
85	самом деле	6	3
86	как известно	6	3
87	для того	10	3
88	но для	2	3
89	он не	7	3
90	в конечном	4	3
91	речь идет	2	3
92	не является	9	3
93	отношению к	5	3
94	по отношению	6	3
95	этом отношении	3	3
96	именно в	2	3
97	лишь в	3	3
98	едва ли	7	3
99	к чему	2	3
100	мы не	10	3
101	также и	2	3
102	их в	4	3
103	и с	4	3
104	подобно тому	2	3
105	и ее	3	3
106	и все	3	3
107	как это	6	3
108	мы имеем	3	3
109	стало быть	2	3
110	в известном	2	2
111	и составляет	2	2
112	казалось бы	8	2
113	отнюдь не	2	2
114	в зависимости	6	2
115	в этих	2	2
116	не могло	2	2
117	этих двух	2	2
118	в сущности	9	2
119	на то	6	2
120	к его	2	2
121	как мы	6	2
122	с ее	2	2
123	зависимости от	6	2
124	переход от	4	2
125	все что	5	2
126	в первой	2	2
127	как у	2	2
128	и самого	2	2
129	всяком случае	6	2
130	чем это	3	2
131	не имеет	4	2
132	хотя бы	4	2
133	детская речь	2	2
134	раз в	2	2
135	вместе с	6	2
136	и тогда	2	2
137	только что	3	2
138	в отличие	3	2
139	в связи	6	2
140	и только	3	2
141	для обозначения	2	2
142	все равно	2	2
143	который в	4	2
144	и даже	5	2
145	с другой	6	2
146	и для	2	2
147	друг друга	5	2
148	отличие от	3	2
149	ничего не	3	2
150	нас в	2	2
151	в результате	3	2
152	сказать что	6	2
153	во всяком	7	2
154	мы можем	10	2
155	в присутствии	2	2
156	связи с	9	2
157	что мы	9	2
158	же самое	2	2
159	с ним	3	2
