N	3gram	Tiupa_Hudo_1	Analitik
1	кадров внутреннего зрения	3	7
2	факторов художественного впечатления	3	6
3	в том что	7	6
4	с одной стороны	2	4
5	так и не	4	4
6	состоит в том	5	4
7	по отношению к	9	4
8	той или иной	4	3
9	мы имеем дело	2	3
10	тем не менее	3	3
11	того или иного	3	3
12	то же время	5	2
13	в отличие от	7	2
14	присутствия в мире	6	2
15	с точки зрения	3	2
16	в то же	5	2
17	субъектной организации художественного	2	2
18	с другой стороны	5	2
19	в конечном счете	5	2
20	в этом смысле	3	2
21	тех или иных	2	2
