N	2gram	Tiupa_Vved_1	Tragedij
1	и в	13	18
2	в романе	6	10
3	в этом	21	9
4	не только	20	8
5	и не	12	7
6	и на	3	7
7	и с	2	7
8	может быть	18	7
9	как бы	4	7
10	и его	5	6
11	же время	3	6
12	но в	6	6
13	все же	6	5
14	так и	8	5
15	это не	6	5
16	не может	7	5
17	то же	5	5
18	как и	11	5
19	в то	4	5
20	но и	19	4
21	то что	6	4
22	в целом	3	4
23	что в	3	4
24	прежде всего	7	4
25	и все	4	4
26	в нем	5	4
27	том что	7	4
28	но это	3	4
29	в себе	5	4
30	еще не	7	4
31	об этом	4	4
32	один из	3	3
33	о чем	2	3
34	отнюдь не	7	3
35	в своем	5	3
36	как в	4	3
37	тем самым	5	3
38	в его	4	3
39	для него	3	3
40	при этом	26	3
41	своего рода	10	3
42	как будто	4	3
43	в мире	8	3
44	с ним	3	3
45	то есть	8	3
46	еще в	2	2
47	не имеет	2	2
48	перед нами	6	2
49	но они	2	2
50	что и	2	2
51	в частности	13	2
52	в отличие	2	2
53	данном случае	6	2
54	который в	2	2
55	то и	2	2
56	но при	5	2
57	уже не	5	2
58	бы и	4	2
59	отношение к	2	2
60	к тому	6	2
61	ни как	2	2
62	времени в	3	2
63	в ходе	2	2
64	в том	10	2
65	до конца	3	2
66	отличие от	2	2
67	не в	6	2
68	в данном	13	2
69	в рассказе	6	2
70	одна из	4	2
71	потому что	5	2
72	в первом	2	2
73	тем что	2	2
74	он и	2	2
75	по поводу	2	2
76	о том	5	2
77	в самом	2	2
78	о жизни	2	2
79	он не	3	2
80	никогда не	4	2
