N	2gram	Propp_Russ_1	Tvorches
1	и в	36	21
2	как бы	5	17
3	в его	2	13
4	то же	3	13
5	что в	19	12
6	как и	10	12
7	то есть	3	12
8	том что	19	11
9	все это	6	10
10	как в	5	8
11	то что	6	8
12	у него	2	7
13	в свою	3	7
14	в том	17	7
15	при этом	6	7
16	не только	22	7
17	и не	6	7
18	в году	2	7
19	и на	10	7
20	но в	2	7
21	не менее	3	6
22	а в	9	6
23	в этом	12	6
24	о том	8	6
25	отнюдь не	2	5
26	а не	2	5
27	но это	4	5
28	может быть	8	5
29	все же	5	5
30	таким образом	6	5
31	в своих	2	5
32	потому что	10	5
33	как будто	5	5
34	только в	4	5
35	в своем	3	4
36	та же	2	4
37	и как	2	4
38	в целом	2	4
39	один из	8	4
40	своего рода	3	4
41	не может	4	4
42	это не	10	4
43	не случайно	2	4
44	в основном	3	4
45	и другие	13	3
46	в каждом	2	3
47	представление о	3	3
48	с ним	2	3
49	в дальнейшем	2	3
50	но не	2	3
51	в нем	2	3
52	и т	10	3
53	но и	16	3
54	в их	4	3
55	уже не	6	3
56	и других	7	3
57	на самом	2	3
58	там же	5	3
59	того что	4	3
60	и по	8	3
61	так же	3	3
62	и с	2	3
63	хотя и	2	3
64	в виде	6	3
65	в россии	4	3
66	далеко не	3	3
67	представляет собой	4	3
68	так как	15	3
69	такой же	2	2
70	в частности	2	2
71	в этих	3	2
72	в качестве	3	2
73	в жизни	2	2
74	к этому	4	2
75	н г	2	2
76	что и	7	2
77	в в	2	2
78	его как	2	2
79	об этом	9	2
80	так что	2	2
81	одна из	4	2
82	до конца	2	2
83	из них	8	2
84	к тому	4	2
85	только на	3	2
86	в ней	2	2
87	к ней	2	2
88	если в	3	2
89	тем не	3	2
90	еще в	4	2
91	когда он	2	2
92	вместе с	10	2
93	но она	2	2
94	к жизни	3	2
95	так и	7	2
96	приводит к	3	2
97	что она	2	2
98	не означает	2	2
99	и у	5	2
100	или в	2	2
101	могут быть	2	2
102	это время	2	2
103	в один	2	2
104	настоящее время	3	2
105	значит что	2	2
