N	3gram	Losev_Prob_5	StatiiOP
1	в том что	8	11
2	не может быть	2	5
3	с другой стороны	5	4
4	по крайней мере	4	4
5	в то время	3	4
6	во всяком случае	2	4
7	с точки зрения	8	4
8	в этом смысле	3	4
9	то время как	3	4
10	о том что	9	4
11	в конце концов	6	3
12	в связи с	7	3
13	на то что	2	3
14	по этому поводу	2	2
15	но все же	2	2
16	в этой трагедии	2	2
17	до сих пор	2	2
18	только тогда когда	3	2
19	с одной стороны	3	2
20	и в стихотворении	2	2
21	а с другой	3	2
22	но и в	2	2
23	тем не менее	5	2
24	и не в	2	2
25	потому что он	2	2
