N	2gram	Berdyaev_O_1	FransuaR
1	и в	19	40
2	и его	4	17
3	прежде всего	9	16
4	в этом	12	15
5	не только	11	13
6	и не	13	13
7	в его	7	13
8	что в	4	12
9	как и	6	11
10	но и	13	11
11	и все	10	9
12	может быть	11	9
13	он не	7	9
14	отношение к	5	8
15	в том	5	8
16	у него	22	8
17	все эти	4	8
18	и с	2	8
19	и на	2	8
20	но в	2	8
21	в своем	2	7
22	в этих	3	6
23	к этому	2	6
24	в самом	5	6
25	в своей	2	6
26	до конца	7	6
27	в нем	10	5
28	то что	5	5
29	не было	9	5
30	а не	11	5
31	и для	2	5
32	в своих	3	5
33	для него	5	5
34	том что	2	4
35	было бы	3	4
36	и потому	2	4
37	все это	6	4
38	о том	3	4
39	и о	2	4
40	того чтобы	4	4
41	в истории	2	4
42	так как	2	4
43	с его	4	3
44	и от	3	3
45	и к	2	3
46	он был	8	3
47	в ее	2	3
48	в этой	5	3
49	еще не	3	3
50	и есть	3	3
51	как бы	3	3
52	что и	2	3
53	и мысли	4	3
54	так и	2	3
55	не может	4	3
56	а в	5	3
57	для того	3	3
58	ко всем	2	3
59	к этой	2	3
60	сказать что	2	3
61	тем что	2	3
62	одно из	2	3
63	в себе	3	3
64	в другом	2	3
65	в других	2	3
66	был еще	2	2
67	уже в	2	2
68	хотя бы	3	2
69	это не	3	2
70	что он	3	2
71	и вот	3	2
72	момент в	2	2
73	все же	2	2
74	своей жизни	2	2
75	все что	3	2
76	к нему	3	2
77	и очень	2	2
78	в этот	2	2
79	лишь в	7	2
80	что для	2	2
81	потому что	9	2
82	он в	2	2
83	даже и	2	2
84	но он	7	2
85	и ее	3	2
86	него и	4	2
87	в которой	2	2
