N	2gram	Losev_Dial_3	Psycholo
1	то что	14	37
2	и в	24	30
3	в том	5	27
4	что в	7	24
5	и что	15	23
6	потому что	7	23
7	том что	8	21
8	все время	3	20
9	для того	3	20
10	таким образом	13	20
11	как бы	3	19
12	что он	13	17
13	на то	3	17
14	не только	23	16
15	в самом	7	14
16	в этом	8	14
17	так же	4	13
18	как раз	7	13
19	одной стороны	3	12
20	в сущности	10	12
21	с одной	3	12
22	если бы	6	11
23	может быть	13	11
24	как на	5	11
25	что мы	8	11
26	о том	6	10
27	никогда не	7	9
28	с другой	4	9
29	для этого	2	9
30	и когда	2	9
31	не может	19	9
32	и то	4	9
33	сказать что	4	9
34	так как	6	9
35	что это	12	8
36	тому что	4	8
37	он должен	3	8
38	к тому	4	8
39	не в	3	8
40	а не	26	8
41	при этом	2	8
42	того что	12	8
43	самом деле	6	8
44	могут быть	2	8
45	и это	4	8
46	по себе	20	7
47	в нем	3	7
48	и как	8	7
49	зависимости от	3	7
50	но не	2	7
51	все же	3	7
52	и т	24	7
53	то же	6	7
54	точки зрения	25	7
55	как это	5	7
56	в основе	3	7
57	ясно что	7	6
58	в зависимости	2	6
59	в своем	3	6
60	что она	9	6
61	именно в	2	6
62	как и	7	6
63	что если	2	6
64	и если	2	6
65	совершенно не	2	6
66	и тем	2	6
67	и для	2	6
68	но и	9	6
69	что все	14	6
70	что оно	7	6
71	и не	27	6
72	жизни и	5	6
73	мы воспринимаем	3	6
74	и его	5	6
75	или в	2	6
76	и здесь	2	6
77	никак не	2	6
78	тем что	3	6
79	мы уже	3	6
80	когда мы	2	6
81	на этом	2	6
82	только не	10	5
83	и есть	16	5
84	что именно	3	5
85	несмотря на	2	5
86	как мы	2	5
87	и потому	2	5
88	еще не	2	5
89	было бы	5	5
90	другой стороны	2	5
91	во внимание	2	5
92	в своих	2	5
93	в себе	2	5
94	но в	2	5
95	только в	5	5
96	бы в	2	5
97	в частности	2	4
98	и все	6	4
99	прежде всего	8	4
100	то это	9	4
101	говорит о	4	4
102	у нас	4	4
103	есть не	9	4
104	и к	5	4
105	от того	4	4
106	в ней	2	4
107	в его	2	4
108	в них	5	4
109	не есть	54	4
110	исходит из	2	4
111	есть основа	2	4
112	только на	7	4
113	только что	4	4
114	а в	2	4
115	из которых	3	4
116	в виду	7	4
117	не можем	2	4
118	не существует	10	3
119	не могут	4	3
120	и уже	2	3
121	первый план	4	3
122	была бы	3	3
123	у него	2	3
124	что у	2	3
125	хотя бы	4	3
126	это не	4	3
127	из этих	2	3
128	вовсе не	13	3
129	вопрос о	5	3
130	показывает что	2	3
131	одно и	5	3
132	эти две	3	3
133	для нас	2	3
134	об этом	6	3
135	так что	8	3
136	это есть	8	3
137	одна из	3	3
138	для него	4	3
139	он не	5	3
140	из двух	3	3
141	что и	6	3
142	ни в	9	3
143	так и	5	3
144	со стороны	2	3
145	в их	2	3
146	есть нечто	23	3
147	так в	2	3
148	и только	6	3
149	т д	23	3
150	из того	2	3
151	но только	4	3
152	и о	3	3
153	в таком	14	3
154	целый ряд	2	3
155	той же	3	3
156	мы не	5	3
157	в силу	3	3
158	сам по	5	3
159	и на	3	3
160	в каком	3	3
161	в данном	2	3
162	иметь в	2	3
163	учения о	2	3
164	из самых	3	2
165	с этой	5	2
166	перед нами	3	2
167	как все	3	2
168	с которой	2	2
169	с его	2	2
170	ни один	2	2
171	же как	2	2
172	он исходит	2	2
173	себя и	2	2
174	говорил что	2	2
175	бы его	2	2
176	в одной	3	2
177	с этим	3	2
178	их не	2	2
179	есть то	6	2
180	или иной	4	2
181	не что	6	2
182	на первый	4	2
183	мы знаем	3	2
184	и можно	2	2
185	же в	2	2
186	по существу	2	2
187	утверждает что	3	2
188	должна быть	6	2
189	если я	2	2
190	это значит	24	2
191	что их	2	2
192	и следовательно	2	2
193	той или	2	2
194	сами по	3	2
195	тех пор	2	2
196	иное как	6	2
197	из них	3	2
198	быть и	3	2
199	все это	6	2
200	но его	3	2
201	отличается от	8	2
202	что есть	4	2
203	но еще	2	2
204	все равно	2	2
205	это и	7	2
206	и вот	2	2
207	с точки	14	2
208	и даже	13	2
209	и он	2	2
210	есть только	12	2
211	должно быть	3	2
212	время как	4	2
213	в сферу	3	2
214	ничего не	17	2
215	и с	6	2
216	само по	5	2
217	он дает	2	2
218	это же	3	2
219	даже и	7	2
220	как например	2	2
221	что иное	6	2
222	во всем	3	2
223	в то	5	2
224	не знает	3	2
225	его на	2	2
226	если же	8	2
227	все эти	3	2
228	из этого	2	2
229	и ни	3	2
230	только о	3	2
231	это будет	4	2
232	нет ни	2	2
233	но она	3	2
