N	2gram	Kanaev_Sov_1	Myslijsy
1	для нас	3	31
2	и в	7	24
3	может быть	12	23
4	и не	6	19
5	а не	3	18
6	в том	4	18
7	что в	2	16
8	не только	4	15
9	при этом	3	13
10	было бы	3	13
11	не в	3	13
12	не может	17	12
13	то же	3	12
14	мы можем	6	12
15	вместе с	4	11
16	мы не	9	11
17	таким образом	11	11
18	в себе	3	10
19	так как	4	10
20	в нем	3	9
21	как бы	4	9
22	то и	2	9
23	а в	4	8
24	в этом	7	8
25	могут быть	2	8
26	не могут	2	7
27	прежде всего	5	7
28	во всяком	2	7
29	всяком случае	2	7
30	или же	2	7
31	как и	6	7
32	с этим	2	7
33	в одном	3	6
34	свою очередь	2	6
35	не можем	7	6
36	в свою	2	6
37	тем не	2	6
38	уже в	3	5
39	не менее	2	5
40	тот же	2	5
41	из них	4	5
42	все же	3	5
43	в которой	2	5
44	из этих	2	4
45	уже не	2	4
46	такой же	2	4
47	одна из	3	4
48	еще не	3	4
49	в самом	2	4
50	только один	2	4
51	в некоторых	2	4
52	с одной	2	4
53	и что	2	4
54	в таком	2	4
55	как он	3	4
56	так сказать	2	4
57	но в	3	4
58	что это	2	3
59	это не	4	3
60	мы называем	3	3
61	и все	3	3
62	но мы	3	3
63	и во	2	3
64	в целом	4	3
65	что она	3	3
66	если мы	4	3
67	тем же	2	3
68	той же	2	3
69	в каждом	8	2
70	самого начала	3	2
71	и есть	2	2
72	в нашем	2	2
73	что все	2	2
74	вопрос о	4	2
75	не дает	2	2
76	мы знаем	2	2
77	у нас	3	2
78	но все	2	2
79	все эти	5	2
80	с общим	2	2
81	у него	2	2
82	ли мы	3	2
83	некоторое время	2	2
84	в его	2	2
85	и потому	3	2
86	на две	3	2
87	не знаем	2	2
88	можно назвать	2	2
89	все это	3	2
90	и они	2	2
91	самом деле	2	2
92	с самого	3	2
93	что такое	2	2
94	мы видим	2	2
95	и по	2	2
96	на другом	2	2
97	их в	4	2
98	мы должны	4	2
99	на этом	2	2
100	когда мы	3	2
101	само собою	3	2
