N	3gram	Medvedev_V_1	Myshleni
1	в том что	5	19
2	по отношению к	7	10
3	для того чтобы	3	8
4	к тому что	3	7
5	можно сказать что	4	6
6	от того что	2	6
7	можно было бы	2	5
8	в зависимости от	5	5
9	в силу чего	2	4
10	мы знаем что	2	3
11	мы видели что	3	3
12	в этом отношении	13	3
13	в значительной мере	3	2
14	не могут не	2	2
15	каждой из этих	2	2
16	и не может	2	2
17	с другой стороны	8	2
18	в связи с	3	2
19	только то что	2	2
20	не только не	2	2
21	не может быть	8	2
22	в этой области	3	2
23	и том же	2	2
24	вместе с тем	3	2
25	одном и том	2	2
