N	2gram	Losev_Prob_1	Sotsiolo
1	все это	7	7
2	в том	9	5
3	в этом	19	5
4	не в	4	3
5	как же	3	3
6	для нас	5	3
7	и только	4	3
8	но ведь	3	3
9	в его	6	3
10	и в	32	3
11	не только	17	3
12	еще не	9	2
13	было бы	8	2
14	как будто	3	2
15	только в	7	2
16	в конце	6	2
17	по существу	2	2
18	таким образом	6	2
19	том что	12	2
20	далеко не	5	2
21	то же	10	2
22	то что	42	2
23	тем более	5	2
24	может быть	14	2
25	за пределы	6	2
26	литературы и	4	2
27	в результате	2	2
28	и что	9	2
29	но и	9	2
30	и заключается	2	2
31	как бы	14	2
32	конце концов	4	2
33	ведь это	2	2
34	что в	12	2
