N	2gram	Tiupa_Disk_1	NovoeSre
1	а не	22	17
2	не может	9	16
3	и в	16	16
4	и не	11	11
5	и есть	2	10
6	что в	4	9
7	в эпоху	5	9
8	как не	3	8
9	в том	23	8
10	как и	16	7
11	в этом	15	7
12	может быть	17	7
13	с его	4	6
14	никогда не	2	6
15	не в	7	6
16	лишь в	4	6
17	в нем	9	5
18	с ее	2	5
19	и к	4	5
20	не только	28	5
21	не менее	2	4
22	то что	5	4
23	наше время	2	4
24	в них	4	4
25	это не	3	4
26	и все	2	4
27	не было	7	4
28	эпохи и	2	4
29	потому что	4	4
30	по своему	3	4
31	прежде всего	11	4
32	о том	8	4
33	и потому	3	4
34	но и	14	3
35	не есть	2	3
36	в своей	5	3
37	в истории	4	3
38	жизни в	2	3
39	с другой	10	3
40	в наше	2	3
41	во всех	5	3
42	к тому	5	3
43	в ее	3	3
44	в основе	7	3
45	подобно тому	2	3
46	как в	10	3
47	еще не	14	3
48	тому как	3	3
49	за пределы	2	3
50	сказать что	3	3
51	к ним	3	3
52	это было	2	3
53	времени в	2	2
54	времени и	3	2
55	на протяжении	2	2
56	себя в	2	2
57	так и	8	2
58	мысли и	2	2
59	и т.п	12	2
60	другой стороны	3	2
61	и было	2	2
62	а в	5	2
63	с одной	9	2
64	уже не	4	2
65	роль в	7	2
66	одной стороны	9	2
67	зависит от	2	2
68	и даже	3	2
69	хотя бы	3	2
70	но не	11	2
71	ни к	6	2
72	том что	19	2
73	есть в	2	2
74	и что	2	2
75	могут быть	4	2
76	с этим	3	2
77	и на	5	2
78	в себе	7	2
79	в то	3	2
80	такого рода	4	2
81	к содержанию	3	2
82	том чтобы	2	2
83	хотя и	2	2
84	но в	8	2
85	в новом	2	2
