N	3gram	Tiupa_Hudo_1	Problema
1	по отношению к	9	19
2	в эстетический объект	2	12
3	не может быть	3	11
4	с точки зрения	3	6
5	в отличие от	7	5
6	с другой стороны	5	4
7	в конечном счете	5	4
8	то же время	5	3
9	в то же	5	3
10	с одной стороны	2	3
11	тем не менее	3	3
12	в противном случае	2	3
13	в этом смысле	3	3
14	в том что	7	3
15	коем случае не	2	2
16	той или иной	4	2
17	в коем случае	2	2
18	мы имеем дело	2	2
19	ни в коем	2	2
20	того или иного	3	2
21	можно сказать что	3	2
22	начало и конец	2	2
23	для того чтобы	2	2
