N	2gram	Medvedev_F_1	Istorich
1	и т	12	27
2	и в	24	26
3	т д	8	24
4	т е	34	18
5	так же	4	18
6	то что	8	16
7	не только	7	15
8	что в	4	14
9	может быть	14	14
10	же как	2	13
11	но и	7	12
12	и пр	17	11
13	что он	3	10
14	так и	18	10
15	таким образом	13	10
16	и его	10	10
17	что и	2	9
18	все же	3	9
19	и не	20	9
20	его в	3	9
21	то же	10	8
22	а в	6	8
23	как и	11	7
24	он не	3	7
25	как в	8	7
26	в этом	15	7
27	таким же	2	6
28	еще не	6	6
29	мы видели	2	6
30	когда он	3	6
31	вместе с	2	6
32	не может	16	6
33	а не	10	6
34	и как	3	5
35	это не	2	5
36	в одном	2	5
37	это и	3	5
38	но все	2	5
39	но не	3	5
40	ничего не	2	5
41	в его	23	5
42	до сих	6	5
43	и др	5	5
44	сих пор	6	5
45	как мы	5	5
46	эта связь	2	5
47	и что	2	5
48	уже не	2	5
49	не в	8	5
50	и с	8	5
51	и здесь	6	5
52	но в	5	5
53	с другой	5	4
54	вовсе не	10	4
55	вопрос о	2	4
56	в своей	11	4
57	он в	2	4
58	здесь не	3	4
59	но эта	2	4
60	и даже	3	4
61	и более	2	3
62	в другой	2	3
63	он должен	3	3
64	указать на	2	3
65	же в	3	3
66	в том	6	3
67	по существу	2	3
68	и других	3	3
69	но это	3	3
70	во всем	2	3
71	при этом	5	3
72	она не	6	3
73	мы увидим	4	3
74	и если	2	3
75	на его	2	3
76	как бы	6	3
77	все эти	6	3
78	на него	2	3
79	не на	2	3
80	или же	3	3
81	как это	6	3
82	между ними	3	3
83	связи с	3	3
84	только в	2	3
85	же происходит	3	3
86	к этой	4	3
87	с тем	2	2
88	должна быть	7	2
89	не менее	11	2
90	никогда не	4	2
91	смысле этого	3	2
92	его и	2	2
93	в своем	11	2
94	в лице	2	2
95	формы и	5	2
96	с этим	2	2
97	и все	6	2
98	главным образом	4	2
99	а как	2	2
100	по себе	5	2
101	с помощью	3	2
102	в самую	2	2
103	его как	3	2
104	ни в	2	2
105	в истории	4	2
106	одна из	2	2
107	не дает	2	2
108	было бы	6	2
109	но есть	2	2
110	если бы	4	2
111	или на	2	2
112	конечно не	4	2
113	у нас	5	2
114	в частности	4	2
115	но для	3	2
116	не могло	5	2
117	хотя бы	5	2
118	в нем	14	2
119	не есть	2	2
120	в целом	6	2
121	отношение к	3	2
122	не по	3	2
123	от того	2	2
124	и их	10	2
125	все это	9	2
126	в связи	4	2
127	на языке	2	2
128	и вот	2	2
129	лишь в	8	2
130	того что	5	2
131	чтобы он	2	2
132	и на	8	2
133	с этой	4	2
134	даже и	2	2
135	его с	2	2
136	в себе	3	2
137	в этой	6	2
138	этого слова	3	2
139	тех же	2	2
140	в особенности	3	2
141	в области	3	2
142	могло бы	2	2
143	так например	3	2
