N	2gram	Medvedev_F_2	Vladivir
1	и в	38	31
2	не только	9	24
3	а к	2	22
4	но и	13	19
5	то что	6	18
6	и не	20	17
7	и даже	4	15
8	он был	2	14
9	том что	2	14
10	что в	7	14
11	в этом	27	14
12	и с	9	14
13	что он	5	12
14	в его	10	12
15	но в	4	12
16	с его	11	11
17	в том	11	11
18	потому что	2	11
19	и то	2	10
20	он не	6	10
21	никогда не	2	9
22	как мы	7	9
23	а в	6	9
24	даже и	4	9
25	только в	6	9
26	в конце	2	9
27	в дальнейшем	4	8
28	и по	2	8
29	в то	5	8
30	так как	4	8
31	уже в	2	7
32	для него	7	7
33	кроме того	2	7
34	как раз	6	7
35	и его	21	7
36	как это	2	7
37	сказать что	2	7
38	он и	3	6
39	к этому	4	6
40	и к	4	6
41	в качестве	2	6
42	может быть	23	6
43	в котором	2	6
44	так и	8	6
45	не может	14	6
46	то же	6	6
47	это было	3	6
48	все это	3	5
49	вовсе не	11	5
50	не в	15	5
51	но как	2	5
52	и от	2	5
53	что и	8	5
54	жизни и	3	5
55	что же	5	5
56	не было	6	5
57	с ним	2	5
58	же время	5	4
59	и все	3	4
60	и теперь	4	4
61	этом смысле	2	4
62	в нем	13	4
63	главным образом	3	4
64	как и	9	4
65	и как	3	4
66	в этой	6	4
67	совсем не	2	4
68	хотя и	3	4
69	один из	2	4
70	в своей	7	4
71	в истории	6	4
72	в особенности	4	4
73	что для	2	4
74	к нему	3	4
75	в которой	2	4
76	в общем	5	3
77	к тому	4	3
78	отнюдь не	8	3
79	со своей	2	3
80	с другой	3	3
81	раз и	4	3
82	как в	4	3
83	но не	2	3
84	но это	2	3
85	что они	4	3
86	ничего не	4	3
87	конце концов	2	3
88	все же	8	3
89	в целом	3	3
90	отношение к	2	3
91	вместе с	6	3
92	он пишет	2	3
93	только на	3	3
94	другой стороны	4	3
95	в связи	10	3
96	и речи	5	3
97	таким образом	20	3
98	все эти	6	3
99	в в	2	3
100	уже не	7	3
101	едва ли	2	3
102	и на	3	3
103	он в	2	3
104	это время	2	3
105	к его	2	3
106	и здесь	3	3
107	здесь не	4	3
108	место в	3	2
109	по учению	4	2
110	тем что	8	2
111	с тем	11	2
112	время и	3	2
113	первый план	2	2
114	по этому	2	2
115	для нее	2	2
116	от нее	4	2
117	хотя бы	6	2
118	по существу	7	2
119	не столько	4	2
120	в годы	3	2
121	в тех	2	2
122	на первый	2	2
123	мы знаем	3	2
124	ни в	2	2
125	это и	5	2
126	от него	2	2
127	на этом	2	2
128	при этом	9	2
129	того что	3	2
130	было бы	6	2
131	совершенно не	4	2
132	что на	2	2
133	в самом	16	2
134	и о	2	2
135	всяком случае	5	2
136	даже в	2	2
137	и до	3	2
138	и т	14	2
139	из них	4	2
140	не по	2	2
141	из этого	2	2
142	со стороны	2	2
143	а именно	2	2
144	даже не	2	2
145	то и	3	2
146	как к	3	2
147	т д	5	2
148	и для	5	2
149	и других	2	2
150	лишь в	7	2
151	тем самым	2	2
152	того чтобы	3	2
153	для того	3	2
154	с ними	2	2
155	в результате	6	2
156	во всяком	5	2
157	точки зрения	8	2
158	из этих	3	2
159	и это	2	2
160	в чем	2	2
