N	3gram	Tiupa_Lite_3	DiskursI
1	в том что	4	13
2	с одной стороны	4	9
3	по отношению к	4	9
4	тогда как в	3	5
5	о том что	4	5
6	в отличие от	5	4
7	то же время	7	4
8	к тому же	5	4
9	с другой стороны	2	3
10	той или иной	2	3
11	не может быть	3	3
12	в то же	7	3
13	в том числе	3	2
14	том числе и	2	2
15	в данном случае	4	2
16	состоит в том	2	2
17	в том чтобы	2	2
18	в соответствии с	3	2
19	не только в	2	2
20	подобно тому как	2	2
21	одной стороны и	2	2
22	то же самое	2	2
23	не говоря уже	4	2
24	говоря уже о	3	2
25	в начале х	3	2
26	в е годы	8	2
