N	2gram	Medvedev_F_2	Myslijsy
1	потому что	2	46
2	в слове	5	32
3	в том	11	32
4	и в	38	30
5	может быть	23	28
6	то же	6	23
7	не только	9	21
8	только в	6	21
9	но и	13	19
10	том что	2	18
11	то что	6	18
12	того что	3	18
13	что в	7	17
14	не есть	3	17
15	по себе	7	16
16	не в	15	15
17	и не	20	15
18	а не	6	15
19	таким образом	20	14
20	что и	8	13
21	так как	4	13
22	вместе с	6	12
23	а в	6	12
24	если бы	5	12
25	так и	8	11
26	что оно	4	11
27	как и	9	10
28	как в	4	10
29	в этом	27	10
30	в то	5	10
31	из этих	3	9
32	для него	7	9
33	было бы	6	9
34	слово есть	2	9
35	в нем	13	9
36	мы не	3	9
37	между тем	2	9
38	в самом	16	8
39	в ней	6	8
40	что не	4	8
41	и то	2	8
42	слова в	3	7
43	с другой	3	7
44	вовсе не	11	7
45	к тому	4	7
46	как мы	7	7
47	с тем	11	7
48	но не	2	7
49	в языке	6	7
50	тем самым	2	7
51	тем что	8	7
52	имеет значение	2	6
53	и теперь	4	6
54	что он	5	6
55	но это	2	6
56	с этим	5	6
57	из них	4	6
58	например в	3	6
59	то это	3	6
60	художественное произведение	2	6
61	то и	3	6
62	не может	14	6
63	уже не	7	6
64	не имеет	2	6
65	с ним	2	6
66	значение слова	2	5
67	уже в	2	5
68	не могут	7	5
69	независимо от	4	5
70	художественного произведения	6	5
71	и как	3	5
72	же время	5	5
73	языка в	9	5
74	очевидно что	2	5
75	и тем	2	5
76	слово как	2	5
77	есть только	2	5
78	должно быть	2	5
79	с другими	10	5
80	не следует	4	5
81	сказать что	2	5
82	сам по	3	5
83	и т	14	5
84	слова и	7	5
85	что это	3	4
86	столь же	2	4
87	оно не	4	4
88	и от	2	4
89	мы видели	4	4
90	для понимания	6	4
91	что именно	2	4
92	себе а	2	4
93	все это	3	4
94	в его	10	4
95	была бы	3	4
96	в котором	2	4
97	один из	2	4
98	не к	2	4
99	другой стороны	4	4
100	и его	21	4
101	или же	2	4
102	он не	6	4
103	не было	6	4
104	для того	3	4
105	тем же	3	4
106	и по	2	4
107	что для	2	4
108	и это	2	4
109	слово в	2	4
110	место в	3	3
111	могут быть	6	3
112	тому что	2	3
113	звуком и	5	3
114	прежде всего	15	3
115	и все	3	3
116	к этому	4	3
117	или вовсе	2	3
118	а только	2	3
119	именно в	5	3
120	а к	2	3
121	не будет	2	3
122	при этом	9	3
123	и может	3	3
124	ни о	5	3
125	как бы	4	3
126	в целом	3	3
127	со стороны	2	3
128	разница между	2	3
129	только на	3	3
130	звук и	2	3
131	том смысле	3	3
132	т д	5	3
133	тем и	2	3
134	того чтобы	3	3
135	слово и	2	3
136	к нему	3	3
137	все остальные	2	3
138	в таком	2	3
139	или в	3	3
140	и на	3	3
141	же и	2	3
142	в искусстве	2	3
143	говорить о	5	3
144	его в	3	3
145	в первом	7	3
146	там где	4	3
147	в чем	2	3
148	в которой	2	3
149	не то	3	3
150	это было	3	3
151	перед нами	2	2
152	самый предмет	2	2
153	но все	3	2
154	время и	3	2
155	без нее	3	2
156	связи с	13	2
157	со своей	2	2
158	от нее	4	2
159	в какой	3	2
160	его с	3	2
161	не столько	4	2
162	та же	2	2
163	не как	4	2
164	произведения не	3	2
165	в понятии	2	2
166	с нею	2	2
167	и звук	2	2
168	а как	3	2
169	отношение к	2	2
170	звука и	5	2
171	на котором	2	2
172	в ее	2	2
173	поэтического произведения	8	2
174	в этой	6	2
175	что они	4	2
176	как ее	3	2
177	от него	2	2
178	но как	2	2
179	как о	4	2
180	она не	2	2
181	и о	2	2
182	слове не	2	2
183	должно было	3	2
184	даже в	2	2
185	все же	8	2
186	жизни и	3	2
187	в своей	7	2
188	и до	3	2
189	что же	5	2
190	в их	6	2
191	так в	3	2
192	т п	9	2
193	входит в	4	2
194	в других	7	2
195	этом отношении	7	2
196	и значением	3	2
197	это и	5	2
198	самом деле	8	2
199	и наконец	4	2
200	и даже	4	2
201	в поэтическом	7	2
202	языка и	12	2
203	их в	2	2
204	ни в	2	2
205	языка мы	2	2
206	от этого	3	2
207	точки зрения	8	2
208	предмета в	2	2
209	бы в	5	2
210	одним словом	4	2
211	произведения искусства	2	2
212	что эта	2	2
213	так сказать	3	2
214	в области	3	2
215	и с	9	2
216	из него	2	2
