N	2gram	Tiupa_Disk_1	slovoVRo
1	и в	16	39
2	может быть	17	37
3	и его	2	33
4	то есть	20	26
5	не только	28	24
6	и не	11	22
7	но и	14	21
8	не может	9	20
9	в нем	9	19
10	в этом	15	16
11	так и	8	15
12	а не	22	14
13	слова в	2	13
14	как в	10	13
15	отличие от	5	13
16	в пределах	2	13
17	в процессе	5	13
18	во всех	5	12
19	в отличие	5	12
20	в истории	4	11
21	не в	7	9
22	языка и	2	9
23	прежде всего	11	8
24	себя в	2	8
25	оно не	2	8
26	таким образом	3	8
27	точки зрения	3	8
28	с его	4	7
29	при этом	13	7
30	для него	4	7
31	еще не	14	7
32	в его	7	7
33	как бы	5	7
34	никогда не	2	7
35	и потому	3	7
36	и даже	3	7
37	как мы	2	7
38	могут быть	4	7
39	в них	4	6
40	и к	4	6
41	все же	3	6
42	как и	16	6
43	в своем	6	6
44	но не	11	6
45	в сущности	2	6
46	значительной степени	2	6
47	в значительной	2	6
48	так сказать	2	6
49	но в	8	6
50	с другой	10	5
51	это не	3	5
52	и все	2	5
53	по себе	3	5
54	том что	19	5
55	или иной	5	5
56	одной стороны	9	5
57	только в	7	5
58	в том	23	5
59	например в	2	5
60	той или	3	5
61	один из	3	5
62	с одной	9	5
63	человека в	2	5
64	уже не	4	5
65	героя и	2	5
66	не менее	2	4
67	и др	2	4
68	отношению к	9	4
69	же время	4	4
70	по отношению	9	4
71	отношения к	2	4
72	то же	7	4
73	а в	5	4
74	и на	5	4
75	дело с	2	4
76	в основе	7	4
77	в то	3	4
78	отношение к	4	4
79	перед нами	3	3
80	что в	4	3
81	одновременно и	2	3
82	хотя бы	3	3
83	стороны и	2	3
84	здесь в	2	3
85	не с	3	3
86	в свою	3	3
87	что и	3	3
88	связи с	4	3
89	на этом	2	3
90	и как	6	3
91	как к	2	3
92	не приходится	2	3
93	лишь в	4	3
94	героя в	2	3
95	а также	8	3
96	или даже	2	3
97	сказать что	3	3
98	между тем	4	3
99	в особенности	4	3
100	во всяком	2	3
101	в данном	5	2
102	уже в	2	2
103	не было	7	2
104	ни к	6	2
105	хотя и	2	2
106	однако в	3	2
107	этого жанра	2	2
108	жизни в	2	2
109	языка с	2	2
110	говорит и	2	2
111	не всегда	2	2
112	как уже	3	2
113	в историческом	2	2
114	в себе	7	2
115	к различным	2	2
116	что он	4	2
117	эпохи и	2	2
118	с ее	2	2
119	речи как	2	2
120	более того	2	2
121	на протяжении	2	2
122	х годов	2	2
123	более или	2	2
124	свою очередь	3	2
125	или на	3	2
126	за пределы	2	2
127	известной степени	2	2
128	о нем	2	2
129	точка зрения	2	2
130	на его	4	2
131	то что	5	2
132	его как	2	2
133	в различных	2	2
134	или менее	2	2
135	в их	5	2
136	в форме	2	2
137	отличается от	2	2
138	с этим	3	2
139	может и	2	2
140	именно в	3	2
141	в себя	5	2
142	они не	2	2
143	и т.п	12	2
144	одним из	2	2
145	роль в	7	2
146	говорящего и	2	2
147	или в	2	2
148	также и	3	2
149	далеко не	10	2
150	к его	2	2
151	но как	2	2
152	в другом	2	2
153	о том	8	2
154	зрения на	3	2
155	в одном	2	2
156	в новом	2	2
