N	2gram	Voloshinov_1	Komedia
1	и в	16	26
2	и не	4	14
3	едва ли	3	14
4	так и	4	12
5	и его	8	12
6	в том	3	11
7	может быть	17	11
8	но и	4	10
9	на протяжении	2	10
10	в этом	9	10
11	что в	3	9
12	том что	3	9
13	вместе с	3	9
14	было бы	2	8
15	и на	4	7
16	не только	7	7
17	что и	2	7
18	во время	3	6
19	то что	3	6
20	еще не	5	6
21	в нем	4	6
22	о том	2	6
23	таким образом	9	6
24	с его	7	5
25	к этому	2	5
26	что он	2	5
27	один из	2	5
28	ни в	5	5
29	с этим	2	5
30	и с	8	5
31	не менее	2	4
32	в частности	2	4
33	у него	2	4
34	в этих	3	4
35	в них	2	4
36	прежде всего	9	4
37	из этих	2	4
38	как мы	4	4
39	меньше всего	2	4
40	как и	2	4
41	с их	3	4
42	в его	4	4
43	в самом	2	4
44	и для	2	4
45	точки зрения	8	4
46	в начале	2	4
47	только в	4	4
48	что это	2	4
49	так как	4	4
50	как это	3	4
51	его в	4	4
52	для всех	4	3
53	с этой	2	3
54	по всему	2	3
55	что на	2	3
56	мы знаем	3	3
57	жизни и	3	3
58	того же	2	3
59	во всех	3	3
60	для нас	2	3
61	в своей	2	3
62	и их	4	3
63	даже не	3	3
64	все это	4	3
65	то же	2	3
66	а в	3	3
67	не может	8	3
68	в этой	4	3
69	тех же	3	3
70	но в	4	3
71	мы можем	9	3
72	в голову	2	2
73	ни было	2	2
74	и есть	3	2
75	отнюдь не	4	2
76	современной ему	2	2
77	в одном	3	2
78	этом смысле	3	2
79	нет и	2	2
80	и к	6	2
81	до сих	3	2
82	на этом	3	2
83	по своему	2	2
84	а на	2	2
85	связанных с	2	2
86	как не	2	2
87	он не	2	2
88	как бы	5	2
89	всяком случае	3	2
90	хотя бы	4	2
91	в развитии	2	2
92	и это	6	2
93	отношение к	5	2
94	сих пор	3	2
95	с самого	4	2
96	да еще	2	2
97	мы не	2	2
98	с ними	4	2
99	во всяком	3	2
100	и ее	4	2
101	говорить о	2	2
102	в один	4	2
103	и все	4	2
