N	2gram	Bakhtin_Pr_1	Dialekti
1	не есть	6	40
2	и не	42	30
3	и есть	2	19
4	а не	5	18
5	может быть	26	17
6	и т	14	17
7	ничего не	6	17
8	то что	8	16
9	и в	38	15
10	как бы	22	14
11	не имеет	9	14
12	точки зрения	8	14
13	что это	2	13
14	того что	2	13
15	это не	5	12
16	прежде всего	13	11
17	в том	8	11
18	не может	27	11
19	говорить о	3	11
20	ясно что	3	11
21	и все	3	11
22	в этом	15	11
23	в основе	5	10
24	том что	3	10
25	было бы	8	9
26	в виду	4	9
27	все это	3	9
28	и что	2	9
29	то же	5	9
30	и пр	2	9
31	с точки	6	9
32	ни в	11	8
33	не в	7	8
34	в себе	4	8
35	и о	5	8
36	не только	9	8
37	в чем	2	8
38	и ее	2	8
39	и это	3	8
40	что в	7	7
41	должна быть	4	7
42	что оно	2	7
43	что он	2	7
44	как и	7	7
45	и его	16	7
46	или в	2	7
47	и вообще	2	7
48	только в	13	7
49	же время	3	6
50	хотя и	3	6
51	и тем	3	6
52	и даже	3	6
53	сказать что	4	6
54	вовсе не	2	6
55	если бы	3	6
56	в то	4	6
57	что и	2	6
58	как только	3	5
59	я не	2	5
60	так и	5	5
61	в своем	5	5
62	на то	2	5
63	можно сказать	2	5
64	как таковой	2	5
65	того чтобы	2	5
66	в ней	4	5
67	в нем	15	5
68	другими словами	2	5
69	таким образом	10	5
70	и на	3	5
71	о том	4	5
72	мы имеем	2	5
73	с его	2	5
74	есть не	2	5
75	в себя	2	5
76	для того	2	5
77	и для	11	5
78	что все	2	4
79	и как	8	4
80	но это	3	4
81	ни с	2	4
82	но и	9	4
83	в особенности	2	4
84	с ними	4	4
85	также и	3	4
86	и с	17	4
87	той или	2	4
88	мы должны	2	4
89	лишь как	4	4
90	отнюдь не	19	4
91	этом смысле	3	4
92	то ни	3	4
93	она не	2	4
94	еще не	7	4
95	должны быть	4	4
96	хотя бы	4	4
97	в его	43	4
98	или иное	2	3
99	не всегда	6	3
100	на этом	2	3
101	тем самым	4	3
102	в свою	2	3
103	себя и	3	3
104	совершенно не	7	3
105	в их	10	3
106	отношения к	6	3
107	все эти	5	3
108	можно только	6	3
109	есть только	2	3
110	и наконец	6	3
111	в истории	2	3
112	с ним	5	3
113	себя как	5	3
114	но в	4	3
115	к этому	2	3
116	у нас	2	3
117	этот момент	2	3
118	за пределы	12	3
119	в своей	7	3
120	и потому	4	3
121	как в	4	3
122	и события	2	3
123	что не	4	3
124	из которых	2	3
125	то или	2	3
126	в данном	4	3
127	мы можем	6	3
128	в виде	2	3
129	могут быть	5	3
130	едва ли	3	3
131	в области	11	3
132	от него	3	3
133	как чисто	2	2
134	не менее	4	2
135	не могут	2	2
136	мы будем	3	2
137	в частности	2	2
138	к своему	2	2
139	можно и	2	2
140	его как	3	2
141	да и	3	2
142	не дает	2	2
143	кроме того	3	2
144	в нашей	2	2
145	при этом	5	2
146	случае не	2	2
147	в самом	7	2
148	только его	3	2
149	совпадает с	2	2
150	никогда не	5	2
151	в котором	2	2
152	природы и	3	2
153	другой стороны	4	2
154	и только	4	2
155	за его	3	2
156	не было	2	2
157	лишь в	2	2
158	можем сказать	2	2
159	должно быть	5	2
160	произведение и	3	2
161	но как	2	2
162	во всем	2	2
163	того или	2	2
164	как это	2	2
165	том как	2	2
166	но они	4	2
167	а как	3	2
168	в них	5	2
169	и во	2	2
170	в коем	2	2
171	в ее	4	2
172	все же	6	2
173	объекта в	5	2
174	все что	3	2
175	не нужно	5	2
176	одной из	3	2
177	конечно не	5	2
178	как вещь	4	2
179	ни одна	2	2
180	себе не	2	2
181	для нее	8	2
182	нет и	3	2
183	оно не	3	2
184	коем случае	2	2
185	совершенно невозможно	3	2
186	тем не	3	2
187	себя в	2	2
188	во всех	11	2
189	и именно	2	2
190	нее это	2	2
191	художественное произведение	8	2
192	как нечто	3	2
193	бы не	2	2
194	его пределы	2	2
195	выше в	2	2
196	можно говорить	2	2
197	тем что	2	2
198	и при	2	2
199	познания и	30	2
200	что эта	2	2
201	отличие от	5	2
202	не могли	2	2
203	может и	4	2
204	в чувстве	3	2
