N	2gram	Nazirov_Vr_1	Vvedenie
1	т е	3	35
2	и в	8	32
3	в том	3	31
4	в этом	8	30
5	может быть	4	26
6	том что	3	26
7	не только	9	22
8	таким образом	2	19
9	то что	7	16
10	не может	2	14
11	в нем	6	13
12	о том	4	13
13	и не	5	12
14	в его	3	12
15	что в	7	10
16	но в	6	9
17	и как	3	9
18	в истории	4	9
19	между тем	5	9
20	то же	5	9
21	в той	2	9
22	не менее	2	8
23	это не	4	8
24	точки зрения	2	7
25	все же	6	7
26	же время	5	6
27	но и	7	6
28	все это	4	6
29	и даже	6	6
30	в то	5	6
31	его в	3	6
32	как и	6	6
33	и его	3	6
34	тем что	3	6
35	и это	2	6
36	уже в	4	5
37	как бы	4	5
38	одним из	3	5
39	в них	2	5
40	об этом	5	5
41	вместе с	2	5
42	о чем	2	4
43	в котором	6	4
44	и что	8	4
45	а в	2	4
46	что он	4	4
47	еще не	2	4
48	в своей	2	4
49	как раз	2	4
50	уже не	2	4
51	и то	2	4
52	и ее	2	4
53	в себе	2	4
54	он сам	2	3
55	в конце	3	3
56	в этой	2	3
57	при этом	4	3
58	в ней	4	3
59	в виду	4	3
60	и уже	3	3
61	отношение к	2	3
62	из них	2	3
63	в своем	3	3
64	так же	4	3
65	в начале	6	3
66	при помощи	2	3
67	в известном	2	3
68	к этому	3	3
69	связи с	3	3
70	в чем	3	3
71	а также	2	3
72	в в	2	3
73	ответ на	2	3
74	же как	2	2
75	никогда не	2	2
76	это в	2	2
77	но это	2	2
78	несмотря на	4	2
79	после этого	2	2
80	в связи	3	2
81	не было	5	2
82	не мог	2	2
83	рядом с	2	2
84	и с	6	2
85	тем более	2	2
86	чтобы он	3	2
87	том же	2	2
88	в этот	3	2
89	что к	2	2
90	тогда как	2	2
91	о которой	2	2
92	с точки	2	2
93	одна из	2	2
94	нашего времени	2	2
