N	2gram	Propp_Morf_1	KulturaY
1	т е	21	38
2	и т	41	33
3	в том	6	30
4	и в	13	24
5	потому что	3	23
6	том что	4	21
7	что в	8	17
8	того чтобы	3	17
9	для того	2	16
10	и пр	37	15
11	было бы	3	15
12	т д	39	14
13	в этом	14	14
14	точки зрения	2	14
15	может быть	52	13
16	все же	7	12
17	таким образом	21	12
18	и не	12	12
19	не в	3	11
20	только в	2	11
21	вовсе не	4	10
22	у нас	2	10
23	не только	4	10
24	хотя бы	4	10
25	если бы	2	9
26	то что	8	9
27	прежде всего	9	9
28	отношению к	4	9
29	самом деле	4	9
30	того что	3	9
31	с точки	2	9
32	о том	2	9
33	так как	16	9
34	по отношению	4	8
35	то же	7	8
36	уже не	2	8
37	а не	11	8
38	тем что	4	8
39	не менее	5	7
40	с другой	8	7
41	связи с	10	7
42	в качестве	5	7
43	как бы	3	7
44	не может	14	7
45	это не	6	7
46	так и	6	7
47	в какой	3	6
48	что он	4	6
49	что такое	3	6
50	но и	4	6
51	что же	2	6
52	другой стороны	4	6
53	можно было	2	6
54	все эти	2	6
55	в которых	2	6
56	мы имеем	9	6
57	в которой	3	6
58	с тем	2	5
59	к тому	4	5
60	но не	4	5
61	еще не	3	5
62	например в	2	5
63	всяком случае	2	5
64	и что	2	5
65	целый ряд	3	5
66	а в	7	5
67	в результате	7	5
68	во всяком	2	5
69	между тем	5	5
70	учение о	3	4
71	с его	2	4
72	в частности	2	4
73	в этих	13	4
74	что эти	2	4
75	на то	2	4
76	в тех	6	4
77	же в	2	4
78	по существу	12	4
79	что они	2	4
80	в пределах	3	4
81	из них	3	4
82	в таких	2	4
83	это и	2	4
84	один из	5	4
85	что и	7	4
86	тем не	5	4
87	в целом	3	4
88	со стороны	3	4
89	как в	3	4
90	не на	2	4
91	с этим	11	4
92	того как	2	4
93	так же	3	4
94	там где	5	4
95	состоит в	2	3
96	ясно что	5	3
97	то это	3	3
98	можно сказать	2	3
99	в первом	3	3
100	в этой	2	3
101	мы увидим	8	3
102	в сущности	3	3
103	а а	2	3
104	оно не	2	3
105	не с	2	3
106	на его	4	3
107	что она	2	3
108	или менее	2	3
109	тому что	4	3
110	в связи	9	3
111	а с	2	3
112	более или	2	3
113	несмотря на	4	3
114	и здесь	5	3
115	то мы	4	3
116	хотя и	3	3
117	здесь не	2	3
118	а если	4	3
119	как это	3	3
120	иных случаях	2	2
121	не все	6	2
122	и есть	2	2
123	не является	3	2
124	этого не	2	2
125	на самом	4	2
126	не всегда	9	2
127	не могут	4	2
128	вопрос о	7	2
129	в собственном	3	2
130	если мы	5	2
131	в то	3	2
132	для нас	2	2
133	этом случае	8	2
134	что его	2	2
135	как и	3	2
136	и как	5	2
137	но все	3	2
138	а на	3	2
139	а то	3	2
140	в большинстве	3	2
141	в последнем	2	2
142	тех случаях	2	2
143	как то	2	2
144	между собою	2	2
145	но если	7	2
146	в свое	2	2
147	как таковой	2	2
148	если в	5	2
149	и тем	2	2
150	наука о	2	2
151	дело не	2	2
152	так например	3	2
153	как например	2	2
154	он не	3	2
155	и для	2	2
156	случаях когда	2	2
157	во втором	3	2
158	этих случаях	11	2
159	не имеет	2	2
160	после чего	2	2
161	или в	4	2
162	также и	4	2
163	в каком	2	2
164	но вот	2	2
165	в иных	4	2
166	тогда как	2	2
167	ничего не	4	2
168	но в	2	2
169	в числе	2	2
170	это было	3	2
