N	2gram	Berdyaev_V_1	Problemy
1	и в	16	35
2	как бы	5	31
3	и не	20	27
4	что он	4	24
5	в его	4	21
6	но в	3	19
7	как и	4	18
8	в нем	4	16
9	и все	4	15
10	но и	5	14
11	для него	2	14
12	все это	5	14
13	в этом	4	14
14	что я	3	13
15	прежде всего	2	12
16	не в	3	10
17	не только	2	10
18	то что	9	10
19	так и	4	8
20	потому что	4	8
21	и для	3	8
22	и сам	2	7
23	лишь в	3	7
24	а в	2	7
25	с ним	2	7
26	с его	3	7
27	еще не	8	7
28	что в	3	6
29	к тому	3	6
30	но это	3	6
31	что они	7	6
32	и что	3	6
33	от него	2	6
34	но не	2	6
35	только в	2	6
36	в конце	3	5
37	в том	3	5
38	да и	2	5
39	когда я	2	5
40	и то	2	5
41	и это	2	5
42	никогда не	3	4
43	в мире	5	4
44	между тем	2	4
45	так как	9	4
46	в них	3	4
47	тот же	3	4
48	ивана карамазова	2	4
49	нет и	2	4
50	в своей	3	4
51	а не	7	4
52	что не	4	4
53	во всяком	2	4
54	тем что	2	4
55	что ты	3	4
56	в чем	3	4
57	его к	2	3
58	его и	2	3
59	в форме	2	3
60	все эти	3	3
61	того что	5	3
62	должно быть	3	3
63	это не	2	3
64	и во	2	3
65	говорить о	4	3
66	в котором	4	3
67	с тем	2	3
68	том что	2	3
69	во всех	3	3
70	что и	3	3
71	а с	2	3
72	уже не	2	3
73	а между	2	3
74	в этих	3	2
75	с тобой	2	2
76	тому что	3	2
77	что все	4	2
78	ни в	3	2
79	в последнем	2	2
80	хотя и	5	2
81	человека как	2	2
82	материалом для	2	2
83	их в	3	2
84	в ней	4	2
85	в жизни	3	2
86	конечно не	2	2
87	бы и	3	2
88	в силах	4	2
89	все равно	2	2
90	хотя бы	3	2
91	можно было	2	2
92	за ним	3	2
93	же ты	3	2
