N	2gram	Vygotskiy__4	VeschiIm
1	не может	10	33
2	не только	7	31
3	может быть	22	29
4	и не	13	28
5	и в	33	26
6	то что	44	24
7	и есть	4	23
8	и т	6	21
9	т д	2	20
10	а не	6	20
11	не просто	4	18
12	есть только	2	17
13	что она	10	14
14	только в	4	14
15	и что	25	13
16	того что	4	13
17	по себе	9	13
18	что это	13	12
19	было бы	12	12
20	но и	3	12
21	сказать что	13	12
22	все же	5	12
23	и то	2	12
24	и ее	2	12
25	таким образом	13	11
26	то же	9	10
27	в ней	6	10
28	как бы	25	10
29	потому что	24	10
30	что мы	6	10
31	в том	21	9
32	в самом	12	9
33	бы то	2	9
34	и с	2	9
35	прежде всего	2	9
36	что не	4	9
37	она есть	2	8
38	на то	10	8
39	с ее	3	8
40	в себе	6	8
41	смысл и	4	8
42	и это	5	8
43	ничего не	2	8
44	смысла и	4	7
45	совершенно не	4	7
46	что оно	3	7
47	также и	2	7
48	говорить о	3	7
49	в то	3	7
50	его в	3	7
51	так как	12	7
52	том что	22	7
53	указывает на	3	7
54	себя в	4	7
55	не будет	4	7
56	как раз	9	7
57	в этом	28	7
58	ли это	3	7
59	так что	7	6
60	и как	5	6
61	что они	6	6
62	что в	21	6
63	но если	3	6
64	жизни и	4	6
65	со стороны	2	6
66	и только	7	6
67	должно быть	3	6
68	в результате	2	6
69	точки зрения	6	6
70	когда мы	6	6
71	но в	2	6
72	ясно что	5	6
73	она не	3	6
74	бы и	2	6
75	если мы	12	6
76	с ним	5	6
77	можно было	4	6
78	это не	6	5
79	с этой	4	5
80	не в	2	5
81	и до	3	5
82	для этого	8	5
83	а в	4	5
84	что для	5	5
85	ни на	2	5
86	с тем	4	5
87	если бы	10	5
88	в ее	2	5
89	у нас	4	5
90	это и	5	5
91	одна из	4	5
92	но не	3	5
93	в сущности	6	5
94	и для	3	5
95	как только	2	4
96	я не	4	4
97	с чем	2	4
98	в своем	7	4
99	с другой	2	4
100	же время	2	4
101	и мы	15	4
102	точка зрения	2	4
103	из них	4	4
104	в их	2	4
105	быть не	2	4
106	сам себя	2	4
107	с этим	5	4
108	о том	20	4
109	и все	12	4
110	то это	3	4
111	как и	5	4
112	так чтобы	2	4
113	во всех	2	4
114	и о	4	4
115	и потому	2	4
116	однако не	2	4
117	что и	3	4
118	даже не	2	4
119	как я	3	4
120	этот вопрос	4	4
121	с точки	4	4
122	мы не	5	4
123	тем что	3	4
124	есть как	2	3
125	сама по	3	3
126	и другое	2	3
127	никогда не	5	3
128	вопрос о	2	3
129	что именно	3	3
130	можно сказать	2	3
131	к тому	12	3
132	без всякого	2	3
133	на этом	3	3
134	в нем	7	3
135	сам по	2	3
136	все это	13	3
137	о ней	2	3
138	их в	3	3
139	не понимает	2	3
140	мы имеем	2	3
141	нисколько не	5	3
142	нет никакой	2	3
143	в одном	3	3
144	в жизни	4	3
145	один из	2	3
146	что он	20	3
147	мы видим	6	3
148	могла бы	4	3
149	тот же	3	3
150	в своей	4	3
151	вместе с	8	3
152	так и	3	3
153	да и	3	3
154	а с	2	3
155	в той	3	3
156	самом деле	12	3
157	того чтобы	22	3
158	хотя бы	2	3
159	тому как	2	3
160	не то	4	3
161	ее с	4	3
162	в основе	3	3
163	мы будем	5	2
164	казалось бы	5	2
165	же мы	2	2
166	в частности	4	2
167	его и	2	2
168	тому что	6	2
169	в каком-то	2	2
170	была бы	2	2
171	на все	2	2
172	ни в	3	2
173	в самой	6	2
174	но все	2	2
175	есть конечно	2	2
176	что ему	2	2
177	и если	9	2
178	и та	2	2
179	что ее	2	2
180	мы уже	5	2
181	в виду	2	2
182	но совершенно	4	2
183	и уже	4	2
184	только одно	2	2
185	это совершенно	3	2
186	и вот	6	2
187	заключается в	5	2
188	так же	13	2
189	жизнь и	4	2
190	в своих	3	2
191	нет жизни	2	2
192	как это	14	2
193	как она	10	2
194	то есть	13	2
195	ничем не	2	2
196	мы можем	5	2
197	на него	4	2
198	и чтобы	2	2
199	от этого	3	2
200	мы получим	3	2
201	на нас	4	2
202	если он	2	2
203	и эти	2	2
204	о которых	2	2
205	и может	5	2
206	себе и	2	2
207	никак не	6	2
208	об этом	4	2
209	он не	11	2
210	и когда	2	2
211	и этот	3	2
212	нем нет	2	2
213	когда он	7	2
214	или его	3	2
215	как в	3	2
216	здравого смысла	3	2
217	необходимые для	2	2
218	как мы	4	2
219	допустим что	2	2
220	для того	23	2
221	и его	5	2
222	той же	4	2
223	из его	2	2
224	с но	3	2
225	во всяком	3	2
226	к делу	3	2
227	на ее	2	2
228	и всякий	2	2
229	не потому	2	2
230	не все	2	2
231	то чтобы	2	2
232	том как	3	2
233	это было	4	2
