N	2gram	Tiupa_Anal_3	OGranits
1	и в	18	13
2	и его	13	12
3	прежде всего	5	9
4	не может	2	8
5	и не	12	8
6	может быть	9	8
7	и т.п	5	7
8	точки зрения	3	7
9	в его	7	7
10	таким образом	4	6
11	не только	22	6
12	то что	2	6
13	только в	2	6
14	как бы	10	6
15	все же	4	5
16	с точки	2	5
17	и т.д	2	5
18	эстетического объекта	2	5
19	то же	3	4
20	не является	5	4
21	тех пор	2	4
22	вопроса о	2	4
23	все это	3	4
24	в каждом	3	4
25	еще и	3	4
26	лишь в	5	4
27	мы не	3	4
28	мы можем	2	4
29	было бы	3	4
30	но в	2	4
31	произведения как	2	4
32	отношению к	7	3
33	что в	9	3
34	никогда не	5	3
35	но и	13	3
36	так и	14	3
37	в их	6	3
38	по отношению	7	3
39	не как	2	3
40	и все	2	3
41	в одном	4	3
42	самом деле	2	3
43	в ее	3	3
44	да и	2	3
45	как и	14	3
46	не в	6	3
47	не столько	3	3
48	в пределах	4	3
49	в себе	2	3
50	в искусстве	2	3
51	говорить о	3	3
52	с этим	3	3
53	и для	2	3
54	не менее	4	2
55	уже в	3	2
56	в нем	2	2
57	в целом	3	2
58	своего рода	8	2
59	данном случае	3	2
60	а не	9	2
61	в произведении	3	2
62	другой стороны	5	2
63	с другой	7	2
64	в них	2	2
65	входит в	2	2
66	а в	10	2
67	с одной	2	2
68	все эти	2	2
69	те же	2	2
70	роль в	3	2
71	есть не	2	2
72	в тех	2	2
73	к тому	6	2
74	и к	4	2
75	как в	3	2
76	в общем	2	2
77	в том	9	2
78	не мог	2	2
79	том что	12	2
80	в данном	4	2
81	что они	3	2
82	в этом	14	2
83	тем что	2	2
84	между тем	5	2
85	могут быть	2	2
86	при этом	11	2
87	нуждается в	2	2
88	и ее	2	2
89	для него	6	2
90	во всем	3	2
91	одной стороны	2	2
92	несмотря на	2	2
93	в самом	5	2
94	героя и	4	2
95	там где	2	2
96	в ней	2	2
97	а также	2	2
