N	2gram	Tiupa_Anal_2	Mirosoze
1	может быть	6	30
2	не только	16	29
3	и в	16	28
4	не может	4	28
5	но и	12	25
6	а не	10	25
7	он не	2	24
8	в этом	18	20
9	о свободе	2	18
10	у него	4	17
11	не в	4	16
12	в своей	2	15
13	никогда не	3	14
14	он был	2	14
15	и он	2	12
16	для него	4	11
17	в самом	6	11
18	и не	12	11
19	что в	2	10
20	в своем	4	10
21	в мире	6	10
22	прежде всего	3	10
23	и все	3	10
24	было бы	3	10
25	в его	2	9
26	не есть	2	9
27	и его	4	9
28	но не	4	8
29	в котором	2	8
30	не был	3	7
31	того что	2	7
32	в конце	4	7
33	но в	6	7
34	в себе	7	7
35	в том	12	6
36	в этой	9	6
37	все это	4	6
38	лишь в	9	6
39	и на	6	6
40	вместе с	2	6
41	только в	4	6
42	и я	2	5
43	как и	14	5
44	то что	7	5
45	в этих	2	4
46	не знает	3	4
47	ни с	2	4
48	в их	3	4
49	отношения к	2	4
50	и свободы	2	4
51	а в	3	4
52	точки зрения	4	4
53	один из	2	4
54	она не	2	4
55	за пределы	4	4
56	что и	3	4
57	уже не	4	4
58	тем что	3	4
59	о себе	2	3
60	к тому	7	3
61	не мог	3	3
62	и их	2	3
63	не имеет	2	3
64	не так	4	3
65	особенно в	7	3
66	его в	2	3
67	то есть	9	3
68	на этом	4	3
69	одно из	2	3
70	том что	12	3
71	ничего не	9	3
72	себя в	2	3
73	место в	3	2
74	вообще не	2	2
75	его как	2	2
76	с их	2	2
77	с самим	3	2
78	о своей	2	2
79	о чем	2	2
80	на этот	2	2
81	могут быть	10	2
82	всего в	2	2
83	по отношению	4	2
84	ли человек	2	2
85	сказать что	2	2
86	он и	2	2
87	как бы	10	2
88	о том	7	2
89	бы в	3	2
90	с ним	2	2
91	а как	2	2
92	если бы	3	2
93	и во	2	2
94	к этому	2	2
95	отношению к	4	2
96	в то	2	2
97	о предопределении	5	2
98	все что	2	2
99	ведь это	2	2
100	как будто	3	2
101	и к	5	2
102	еще в	2	2
103	как в	4	2
104	приводит к	3	2
105	в центре	3	2
106	т е	2	2
107	и для	2	2
108	он в	4	2
109	я всегда	2	2
110	на протяжении	2	2
