N	2gram	Propp_Russ_1	Dialekti
1	т е	17	30
2	и не	6	30
3	может быть	8	20
4	и в	36	19
5	не только	22	19
6	и т	10	17
7	а не	2	16
8	т д	9	15
9	то что	6	14
10	что она	2	14
11	в том	17	14
12	как бы	5	14
13	так как	15	14
14	потому что	10	14
15	но и	16	12
16	то же	3	12
17	не просто	2	12
18	значит что	2	12
19	точки зрения	3	12
20	что это	3	10
21	как и	10	10
22	и как	2	10
23	в нем	2	10
24	так и	7	10
25	том что	19	10
26	это не	10	10
27	не может	4	9
28	она не	2	8
29	с точки	3	8
30	в этом	12	8
31	как это	8	7
32	но это	4	7
33	но что	2	7
34	и к	3	7
35	что в	19	7
36	как будто	5	7
37	так что	2	7
38	что они	7	6
39	отнюдь не	2	6
40	но не	2	6
41	того что	4	6
42	в силу	2	5
43	и пр	2	5
44	и потому	2	5
45	что и	7	5
46	и что	4	5
47	только в	4	5
48	о том	8	5
49	и с	2	5
50	независимо от	2	4
51	в своем	3	4
52	та же	2	4
53	в одном	3	4
54	все же	5	4
55	при этом	6	4
56	еще не	4	4
57	связи с	4	4
58	быть и	2	4
59	все это	6	4
60	в связи	4	4
61	тут же	2	4
62	таким образом	6	4
63	и по	8	4
64	а в	9	4
65	одно из	5	4
66	могут быть	2	4
67	как он	2	4
68	с ним	2	4
69	не менее	3	3
70	всех этих	2	3
71	и более	2	3
72	е в	8	3
73	иное как	2	3
74	о чем	3	3
75	в этих	3	3
76	в это	3	3
77	как они	2	3
78	это время	2	3
79	не что	2	3
80	об этом	9	3
81	как мы	10	3
82	что иное	2	3
83	уже не	6	3
84	и из	3	3
85	в целях	3	3
86	не значит	2	3
87	из них	8	3
88	и их	4	3
89	с этим	2	3
90	в разных	3	3
91	не было	2	3
92	мы имеем	4	3
93	после этого	4	3
94	что этот	4	3
95	его с	4	3
96	в один	2	3
97	будто бы	6	3
98	ничего не	3	3
99	же не	2	3
100	в частности	2	2
101	что у	2	2
102	в какой	2	2
103	на самом	2	2
104	в тех	4	2
105	к тому	4	2
106	что на	4	2
107	тем не	3	2
108	но все	3	2
109	мы видим	2	2
110	с тем	8	2
111	как известно	2	2
112	с целью	2	2
113	несмотря на	3	2
114	далее в	2	2
115	в ней	2	2
116	если в	3	2
117	на все	2	2
118	как не	2	2
119	во всех	4	2
120	в некоторых	4	2
121	в каждом	2	2
122	разница между	2	2
123	в их	4	2
124	тому что	4	2
125	так же	3	2
126	не на	2	2
127	например в	2	2
128	того как	5	2
129	как в	5	2
130	или в	2	2
131	с ними	5	2
132	в своих	2	2
133	их в	3	2
134	между тем	7	2
135	тем что	4	2
136	в виде	6	2
137	или на	3	2
138	во время	14	2
139	мы должны	2	2
140	все эти	2	2
141	в области	3	2
142	что по	4	2
143	которые не	3	2
144	но в	2	2
145	в жизни	2	2
146	вместе с	10	2
147	на этом	3	2
