N	2gram	Kanaev_Sov_1	VeschiIm
1	не может	17	33
2	не только	4	31
3	может быть	12	29
4	и не	6	28
5	и в	7	26
6	и есть	2	23
7	а не	3	20
8	что она	3	14
9	и что	2	13
10	что это	2	12
11	было бы	3	12
12	все же	3	12
13	что же	5	11
14	таким образом	11	11
15	то же	3	10
16	уже не	2	10
17	как бы	4	10
18	что такое	2	10
19	в том	4	9
20	в самом	2	9
21	прежде всего	5	9
22	то ни	2	9
23	в себе	3	8
24	ничего не	6	8
25	совершенно не	2	7
26	говорить о	2	7
27	так как	4	7
28	и пр	2	7
29	в этом	7	7
30	что в	2	6
31	жизни и	4	6
32	отличается от	3	6
33	в результате	6	6
34	точки зрения	12	6
35	когда мы	3	6
36	но в	3	6
37	ясно что	3	6
38	если мы	4	6
39	не менее	2	5
40	это не	4	5
41	тем не	2	5
42	не в	3	5
43	свою очередь	2	5
44	еще не	3	5
45	а в	4	5
46	отнюдь не	3	5
47	в свою	2	5
48	у нас	3	5
49	одна из	3	5
50	же это	4	5
51	и мы	3	4
52	из них	4	4
53	то и	2	4
54	в и	2	4
55	и даже	2	4
56	с этим	2	4
57	и все	3	4
58	как и	6	4
59	и потому	3	4
60	нет и	4	4
61	быть и	2	4
62	с точки	5	4
63	мы не	9	4
64	принципиально не	2	3
65	вопрос о	4	3
66	на этом	2	3
67	в нем	3	3
68	все это	3	3
69	их в	4	3
70	в одном	3	3
71	она может	2	3
72	мы видим	2	3
73	тот же	2	3
74	вместе с	4	3
75	самом деле	2	3
76	может не	3	2
77	же мы	2	2
78	говорить об	2	2
79	но все	2	2
80	только один	2	2
81	теперь же	2	2
82	в первом	3	2
83	мы можем	6	2
84	мы получим	3	2
85	на их	2	2
86	и во	2	2
87	на этой	3	2
88	приводит к	2	2
89	еще более	2	2
90	и они	2	2
91	как мы	2	2
92	тем же	2	2
93	к чему	2	2
94	той же	2	2
95	во всяком	2	2
96	если же	2	2
97	состоит из	3	2
98	в науке	2	2
