N	2gram	Bakhtin_Fr_3	Psycholo
1	в том	8	37
2	и в	40	32
3	том что	4	21
4	то что	5	21
5	таким образом	10	21
6	потому что	2	21
7	то есть	18	21
8	что в	12	20
9	может быть	9	18
10	что и	3	17
11	не может	3	17
12	точки зрения	2	17
13	самом деле	3	16
14	того чтобы	4	14
15	что он	2	13
16	при этом	3	13
17	то же	7	13
18	для того	3	13
19	в этом	15	13
20	в самом	6	12
21	не только	13	12
22	так как	4	12
23	было бы	4	11
24	в основе	5	11
25	как и	11	10
26	но и	11	10
27	и не	13	10
28	как в	3	9
29	в своих	5	9
30	тем что	3	9
31	не менее	2	8
32	той же	8	8
33	мы знаем	2	7
34	и как	3	7
35	а не	5	7
36	в сущности	9	7
37	все эти	8	7
38	можно было	3	7
39	и его	17	7
40	что для	2	7
41	сказать что	3	7
42	только в	3	7
43	в этой	3	6
44	он не	9	6
45	как бы	3	6
46	те же	5	6
47	о том	4	6
48	если бы	3	6
49	он говорит	6	5
50	в ней	4	5
51	далеко не	2	5
52	до сих	4	5
53	сих пор	4	5
54	все это	4	5
55	как раз	5	5
56	этом отношении	2	5
57	на самом	3	5
58	только на	4	5
59	и даже	4	5
60	и на	8	5
61	в то	6	5
62	и сам	2	4
63	и той	2	4
64	из этого	2	4
65	никак не	3	4
66	в нем	5	4
67	все же	2	4
68	из них	4	4
69	жизни и	4	4
70	и до	8	4
71	данном случае	2	4
72	а в	3	4
73	и все	9	4
74	одной и	2	4
75	мы видим	5	4
76	и для	5	4
77	в данном	4	4
78	в языке	2	4
79	и с	8	4
80	говорит он	2	4
81	с этим	2	4
82	в целом	2	4
83	и это	2	4
84	между тем	3	4
85	в частности	3	3
86	для этого	3	3
87	но он	2	3
88	хотя бы	2	3
89	с другой	2	3
90	в конце	3	3
91	представление о	2	3
92	и к	3	3
93	об этом	3	3
94	но как	2	3
95	до конца	6	3
96	в нашей	2	3
97	например в	2	3
98	в своей	6	3
99	один из	4	3
100	так и	3	3
101	не к	2	3
102	во всех	6	3
103	и так	2	3
104	и ее	2	3
105	жизни с	2	3
106	в их	4	3
107	на этом	2	3
108	еще более	4	3
109	и других	6	3
110	образом в	2	3
111	и вот	2	3
112	должны быть	2	3
113	он в	2	3
114	во всем	3	3
115	думать что	2	3
116	или же	2	3
117	но в	8	3
118	мы не	2	3
119	в виду	7	3
120	слова в	2	2
121	из самых	2	2
122	и этот	2	2
123	с его	3	2
124	с в	2	2
125	в них	9	2
126	все что	2	2
127	сравнению с	2	2
128	это не	2	2
129	и от	3	2
130	из всех	4	2
131	он с	2	2
132	в одном	7	2
133	это в	2	2
134	и здесь	4	2
135	ни в	4	2
136	в романе	15	2
137	же время	6	2
138	даны в	2	2
139	еще не	3	2
140	но не	2	2
141	того же	2	2
142	по сравнению	2	2
143	вот этот	2	2
144	вовсе не	12	2
145	на его	2	2
146	к нему	2	2
147	том же	2	2
148	и следовательно	3	2
149	в его	13	2
150	в ее	3	2
151	не так	3	2
152	в состоянии	2	2
153	как он	2	2
154	начала и	5	2
155	в этих	6	2
156	отношение к	8	2
157	вместе с	3	2
158	как нечто	2	2
159	вплоть до	3	2
160	так в	4	2
161	при анализе	2	2
162	в особенности	5	2
163	не было	5	2
164	роль в	4	2
165	мы находим	3	2
166	здесь мы	2	2
167	и у	2	2
168	форму и	2	2
169	считает что	2	2
170	в других	3	2
171	отличие от	3	2
172	но это	3	2
173	также и	4	2
174	их в	3	2
175	и далее	2	2
176	материал и	2	2
177	он дает	2	2
178	в себе	3	2
179	с того	2	2
180	не понимает	3	2
181	в свете	3	2
182	там где	3	2
183	в которой	2	2
