N	2gram	Trubetskoy_1	Freidism
1	таким образом	22	24
2	и не	8	23
3	не может	4	20
4	точки зрения	13	19
5	прежде всего	2	18
6	в этом	15	15
7	в его	5	15
8	мы можем	2	13
9	может быть	10	13
10	как бы	12	11
11	то что	7	11
12	все эти	6	11
13	с точки	6	11
14	и потому	6	10
15	так и	6	10
16	но в	7	10
17	с его	2	9
18	и в	26	9
19	во всех	2	9
20	все что	2	8
21	что он	4	8
22	отношению к	3	8
23	еще не	2	8
24	он не	4	8
25	не только	10	8
26	все это	6	8
27	то же	4	8
28	только в	4	8
29	и все	2	8
30	психической жизни	2	8
31	так как	9	8
32	тот же	2	7
33	к нему	7	7
34	во всяком	6	7
35	один из	2	7
36	мы видели	2	7
37	отношение к	5	7
38	в самом	4	7
39	те же	2	7
40	и наконец	2	7
41	сказать что	2	7
42	всяком случае	6	7
43	никогда не	5	6
44	для него	3	6
45	того что	3	6
46	хотя бы	3	6
47	и с	10	6
48	и к	5	5
49	связь с	2	5
50	в свою	2	5
51	можно сказать	3	5
52	не в	2	5
53	в этой	4	5
54	для этого	2	5
55	в то	4	5
56	что в	9	5
57	но и	9	5
58	для того	5	5
59	а в	4	5
60	и на	2	5
61	мы должны	6	5
62	не менее	3	4
63	но не	8	4
64	в котором	4	4
65	связанных с	2	4
66	в этих	4	4
67	то ни	2	4
68	из этих	10	4
69	с другими	4	4
70	к тому	6	4
71	же время	2	4
72	связанные с	7	4
73	при этом	3	4
74	конечно не	2	4
75	и о	3	4
76	в нем	4	4
77	все же	6	4
78	не было	2	4
79	уже не	3	4
80	того чтобы	5	4
81	с самого	3	4
82	и для	5	4
83	в которой	3	4
84	в таком	3	4
85	потому что	7	4
86	во время	4	4
87	не могут	2	3
88	самого начала	2	3
89	главным образом	8	3
90	если бы	3	3
91	в них	2	3
92	и от	4	3
93	что все	4	3
94	в себе	6	3
95	и как	3	3
96	учение о	4	3
97	по своему	2	3
98	со всеми	2	3
99	случае не	3	3
100	в общем	8	3
101	из которого	3	3
102	бы то	2	3
103	жизни и	2	3
104	когда он	3	3
105	вместе с	15	3
106	приводит к	2	3
107	и те	3	3
108	и что	4	3
109	на этот	4	3
110	и по	4	3
111	мы имеем	2	3
112	ничего общего	2	3
113	не исчерпывается	2	2
114	в отношении	6	2
115	уже в	2	2
116	или иное	2	2
117	по учению	3	2
118	но все	7	2
119	только не	2	2
120	и другие	3	2
121	что это	3	2
122	для всех	2	2
123	быть и	2	2
124	того же	6	2
125	с другой	8	2
126	в конце	6	2
127	к этому	3	2
128	же самое	2	2
129	ничем не	4	2
130	тем не	3	2
131	жизни по	2	2
132	ни было	2	2
133	том что	7	2
134	них не	2	2
135	а не	5	2
136	связано с	2	2
137	одной стороны	7	2
138	из них	7	2
139	что мы	2	2
140	но если	2	2
141	в процессе	2	2
142	конце концов	3	2
143	относится к	2	2
144	в своем	3	2
145	только для	2	2
146	сих пор	5	2
147	отличается от	2	2
148	всех других	2	2
149	и таким	3	2
150	а с	7	2
151	этом отношении	2	2
152	с одной	7	2
153	что оно	4	2
154	и у	8	2
155	и даже	3	2
156	так же	5	2
157	как на	8	2
158	когда человек	2	2
159	очень много	2	2
160	то или	2	2
161	связанный с	2	2
162	этого периода	2	2
163	из этой	2	2
164	что и	6	2
165	и при	3	2
166	к его	2	2
167	до сих	5	2
168	в области	9	2
169	в эту	2	2
170	в виду	2	2
