N	2gram	Losev_Dial_3	Vladivir
1	и в	24	31
2	не только	23	24
3	но и	9	19
4	то что	14	18
5	и не	27	17
6	у него	2	15
7	и даже	13	15
8	том что	8	14
9	что в	7	14
10	в этом	8	14
11	и с	6	14
12	что он	13	12
13	в его	2	12
14	но в	2	12
15	с его	2	11
16	в том	5	11
17	потому что	7	11
18	о том	6	11
19	так что	8	10
20	и то	4	10
21	также и	2	10
22	он не	5	10
23	никогда не	7	9
24	как мы	2	9
25	а в	2	9
26	даже и	7	9
27	только в	5	9
28	и по	2	8
29	в то	5	8
30	так как	6	8
31	для него	4	7
32	кроме того	6	7
33	об этом	6	7
34	о нем	4	7
35	как раз	7	7
36	и его	5	7
37	как это	5	7
38	сказать что	4	7
39	мы уже	3	7
40	еще и	2	7
41	е в	4	7
42	он и	3	6
43	и к	5	6
44	у нас	4	6
45	и потому	2	6
46	может быть	13	6
47	иной раз	2	6
48	так и	5	6
49	не может	19	6
50	то же	6	6
51	и что	15	6
52	разного рода	2	6
53	это было	3	6
54	все это	6	5
55	вовсе не	13	5
56	на то	3	5
57	не в	3	5
58	но как	2	5
59	и если	2	5
60	и от	3	5
61	что и	6	5
62	жизни и	5	5
63	что же	11	5
64	не было	3	5
65	в своих	2	5
66	я не	6	4
67	же время	3	4
68	в своем	3	4
69	что у	2	4
70	и все	6	4
71	в нем	3	4
72	для нас	2	4
73	в себе	2	4
74	что его	5	4
75	и вообще	2	4
76	как и	7	4
77	и как	8	4
78	мы и	4	4
79	никак не	2	4
80	хотя и	5	4
81	себя в	2	4
82	в истории	4	4
83	в особенности	7	4
84	и у	2	4
85	что для	5	4
86	несмотря на	2	4
87	во всем	3	4
88	к нему	3	4
89	но только	4	3
90	только к	2	3
91	но на	2	3
92	к тому	4	3
93	в виде	8	3
94	отнюдь не	10	3
95	с другой	4	3
96	раз и	3	3
97	но не	2	3
98	но это	5	3
99	но что	7	3
100	ничего не	17	3
101	и всякой	2	3
102	за пределы	3	3
103	все же	3	3
104	только на	7	3
105	другой стороны	2	3
106	собственно говоря	4	3
107	таким образом	13	3
108	все эти	3	3
109	и вот	2	3
110	если не	3	3
111	уже не	5	3
112	и он	2	3
113	и притом	5	3
114	жизнь и	4	3
115	что этот	2	3
116	и на	3	3
117	на себя	3	3
118	и здесь	2	3
119	отца и	2	3
120	но она	3	3
121	тем что	3	2
122	уже и	3	2
123	первый план	4	2
124	не менее	11	2
125	она всегда	2	2
126	в частности	2	2
127	но даже	3	2
128	нет и	4	2
129	она была	2	2
130	в них	5	2
131	веры и	4	2
132	где же	4	2
133	хотя бы	4	2
134	по существу	2	2
135	что все	14	2
136	и я	3	2
137	ясно что	7	2
138	но его	3	2
139	на первый	4	2
140	тем не	10	2
141	мы знаем	3	2
142	очень мало	2	2
143	и можно	2	2
144	ни в	9	2
145	тому же	2	2
146	это и	7	2
147	тем более	3	2
148	особого рода	3	2
149	на этом	2	2
150	учение о	8	2
151	все что	3	2
152	то время	4	2
153	он будет	3	2
154	еще не	2	2
155	при этом	2	2
156	того что	12	2
157	было бы	5	2
158	совершенно не	2	2
159	в самом	7	2
160	конечно не	4	2
161	и о	3	2
162	на что	2	2
163	всяком случае	2	2
164	для себя	2	2
165	и тут	3	2
166	и т	24	2
167	из них	3	2
168	то как	2	2
169	из этого	2	2
170	со стороны	2	2
171	что она	9	2
172	а именно	2	2
173	даже не	6	2
174	только что	4	2
175	то и	3	2
176	т д	23	2
177	и для	2	2
178	на основании	2	2
179	тем самым	3	2
180	для того	3	2
181	что мы	8	2
182	что такое	21	2
183	как на	5	2
184	той же	3	2
185	во всяком	2	2
186	к этой	2	2
187	точки зрения	25	2
188	в каком	3	2
189	из этих	2	2
190	у меня	2	2
191	того и	2	2
192	его на	2	2
193	и это	4	2
194	и ни	3	2
195	в чем	4	2
