N	2gram	Trubetskoy_1	UchenyiS
1	и в	26	14
2	а не	5	10
3	не только	10	10
4	и не	8	8
5	прежде всего	2	8
6	то что	7	7
7	в этом	15	7
8	не может	4	7
9	может быть	10	6
10	хотя бы	3	5
11	перестает быть	2	5
12	все это	6	5
13	и только	4	5
14	то же	4	5
15	но и	9	4
16	в этой	4	4
17	в россии	2	4
18	конечно не	2	4
19	с другой	8	4
20	но в	7	3
21	все же	6	3
22	бы то	2	3
23	для этого	2	3
24	то ни	2	3
25	же время	2	3
26	для него	3	3
27	в то	4	3
28	не как	2	3
29	и т.д	6	3
30	в области	9	3
31	к сожалению	3	3
32	ни было	2	3
33	том что	7	2
34	но не	8	2
35	в том	11	2
36	по существу	2	2
37	с его	2	2
38	крайней мере	5	2
39	не в	2	2
40	и для	5	2
41	должна была	2	2
42	если бы	3	2
43	только в	4	2
44	и с	10	2
45	сих пор	5	2
46	при таком	2	2
47	что он	4	2
48	и у	8	2
49	в себе	6	2
50	до сих	5	2
51	что мы	2	2
52	же самое	2	2
53	в конце	6	2
54	что все	4	2
55	если не	2	2
56	этом отношении	2	2
57	в самом	4	2
58	не могут	2	2
59	превращается в	2	2
60	одним из	2	2
61	надо было	2	2
62	для всех	2	2
63	по крайней	5	2
64	и является	2	2
65	что и	6	2
66	в его	5	2
67	между тем	2	2
68	конце концов	3	2
69	таким образом	22	2
