N	2gram	Vinokur_Ku_1	Stilisti
1	и в	24	42
2	как бы	7	27
3	не только	10	27
4	прежде всего	9	22
5	хотя бы	10	17
6	но и	6	15
7	то же	8	15
8	и не	12	14
9	социального общения	3	14
10	может быть	13	12
11	не может	7	12
12	точки зрения	14	11
13	как и	2	11
14	и как	2	10
15	в этом	14	10
16	при этом	6	9
17	в то	2	9
18	то что	9	9
19	для того	16	9
20	все же	12	8
21	в ней	6	8
22	таким образом	12	8
23	с тем	5	8
24	что же	6	8
25	тем самым	4	8
26	в себе	3	8
27	никогда не	2	7
28	зависимости от	6	7
29	же время	2	7
30	и тем	2	7
31	и на	4	7
32	потому что	23	7
33	так как	9	7
34	с его	4	7
35	в зависимости	5	7
36	было бы	15	7
37	а не	8	7
38	того чтобы	17	7
39	и его	5	7
40	только в	11	7
41	в которой	6	7
42	ничего не	2	7
43	или иной	3	6
44	не в	11	6
45	в этой	3	6
46	в свою	3	6
47	на его	3	6
48	но ведь	2	6
49	когда мы	2	6
50	в нем	4	6
51	так и	7	6
52	язык в	5	6
53	речи и	5	6
54	в области	7	6
55	уже в	3	5
56	тому что	3	5
57	и является	4	5
58	не является	2	5
59	с помощью	7	5
60	а в	5	5
61	и с	5	5
62	того или	4	5
63	как это	3	5
64	или иного	3	5
65	что язык	7	5
66	в его	12	5
67	вместе с	7	5
68	в той	5	5
69	с точки	9	5
70	той же	3	5
71	слова и	4	5
72	что это	5	4
73	в каждом	2	4
74	не просто	5	4
75	можно сказать	3	4
76	к тому	5	4
77	но все	2	4
78	свою очередь	3	4
79	было в	2	4
80	общения и	2	4
81	в качестве	7	4
82	в самом	10	4
83	один из	4	4
84	все это	6	4
85	языка и	8	4
86	того что	9	4
87	так же	4	4
88	о том	9	4
89	бы в	7	4
90	но в	2	4
91	если бы	9	4
92	были бы	2	4
93	у нас	10	4
94	мы увидим	3	4
95	если б	2	4
96	так называемые	3	4
97	а с	3	4
98	если мы	2	4
99	к своему	2	4
100	уже не	8	4
101	самом деле	9	4
102	и пр	15	4
103	в слове	2	4
104	можно было	6	4
105	и то	3	4
106	так сказать	5	4
107	в разных	2	3
108	до того	2	3
109	это не	7	3
110	содержание и	5	3
111	этом случае	2	3
112	слова но	2	3
113	как таковой	2	3
114	для нас	2	3
115	не мог	2	3
116	хотя и	3	3
117	в котором	3	3
118	в целом	4	3
119	из них	4	3
120	что оно	3	3
121	лишь в	2	3
122	и даже	3	3
123	нуждается в	3	3
124	и здесь	3	3
125	но вот	2	3
126	в виду	5	3
127	что было	2	3
128	и все	2	3
129	в одном	3	3
130	этого слова	3	3
131	том что	21	3
132	в тех	4	3
133	социальной жизни	2	3
134	еще не	5	3
135	конечно не	2	3
136	так называемой	2	3
137	что и	4	3
138	слова как	3	3
139	на самом	2	3
140	если не	3	3
141	что такое	6	3
142	между ними	2	3
143	и для	2	3
144	роль в	4	3
145	слов в	2	3
146	то мы	3	3
147	связи с	7	3
148	бы и	2	2
149	культурного развития	3	2
150	в частности	4	2
151	в какой	6	2
152	иное как	2	2
153	не всегда	2	2
154	вопрос о	2	2
155	в том	30	2
156	иными словами	4	2
157	очевидно что	3	2
158	до конца	2	2
159	в пределах	4	2
160	несмотря на	3	2
161	себе и	2	2
162	подойти к	2	2
163	не с	3	2
164	в этих	4	2
165	не говоря	2	2
166	наш язык	2	2
167	целый ряд	5	2
168	как например	2	2
169	в связи	3	2
170	случаях когда	2	2
171	не было	3	2
172	этом отношении	5	2
173	еще и	5	2
174	все эти	6	2
175	должно быть	3	2
176	в которых	6	2
177	также и	2	2
178	даже и	3	2
179	что эти	4	2
180	мы имеем	6	2
181	к которому	3	2
182	для них	2	2
183	смысле этого	3	2
184	это слово	3	2
185	с этим	4	2
186	себе в	3	2
187	ясно что	3	2
188	значение и	2	2
189	что он	6	2
190	слово это	5	2
191	только тогда	3	2
192	только потому	6	2
193	речи не	2	2
194	и при	2	2
195	чуть ли	2	2
196	но не	5	2
197	а на	2	2
198	связано с	3	2
199	тех случаях	2	2
200	тот же	2	2
201	нужно было	2	2
202	и потому	4	2
203	гораздо более	3	2
204	не есть	4	2
205	в своей	2	2
206	сих пор	4	2
207	как в	4	2
208	здесь не	3	2
209	ли не	3	2
210	и он	3	2
211	с ним	5	2
212	или в	2	2
213	в языке	8	2
214	тем что	8	2
215	в каком	2	2
216	как с	2	2
