N	2gram	Tiupa_Hudo_1	slovoVRo
1	и в	14	39
2	может быть	5	37
3	и т	11	35
4	и его	5	33
5	т п	8	33
6	не только	12	24
7	и не	2	22
8	но и	5	21
9	не может	7	20
10	в нем	3	19
11	до конца	2	17
12	все это	2	16
13	в этом	11	16
14	так и	13	15
15	а не	12	14
16	слова в	2	13
17	как в	8	13
18	в пределах	3	13
19	к своему	2	9
20	не в	7	9
21	со своим	2	9
22	и с	4	9
23	прежде всего	11	8
24	себя в	4	8
25	точки зрения	5	8
26	с его	5	7
27	при этом	12	7
28	для него	10	7
29	еще не	7	7
30	в его	8	7
31	как бы	7	7
32	никогда не	6	7
33	в этих	5	7
34	и потому	2	7
35	и даже	3	7
36	как мы	3	7
37	с ним	4	7
38	в него	2	7
39	человек в	2	6
40	и к	4	6
41	все же	3	6
42	как и	9	6
43	в своем	4	6
44	но не	3	6
45	она не	4	6
46	значительной степени	2	6
47	жизни и	5	6
48	в значительной	2	6
49	все эти	3	6
50	так сказать	2	6
51	но в	5	6
52	это не	7	5
53	и для	3	5
54	и все	4	5
55	по себе	2	5
56	том что	16	5
57	только в	5	5
58	в том	12	5
59	например в	2	5
60	один из	4	5
61	мышления и	2	5
62	человека в	6	5
63	уже не	7	5
64	с ними	2	5
65	от него	3	5
66	романа в	3	5
67	героя и	5	5
68	не менее	5	4
69	поэтому и	2	4
70	себя и	2	4
71	на фоне	2	4
72	ни в	5	4
73	отношению к	8	4
74	же время	8	4
75	одна из	2	4
76	по отношению	8	4
77	то же	9	4
78	в таком	3	4
79	а в	7	4
80	и на	3	4
81	в то	8	4
82	его в	3	4
83	здесь не	2	4
84	перед нами	5	3
85	что в	6	3
86	одновременно и	5	3
87	не столько	2	3
88	установкой на	2	3
89	и от	4	3
90	в бытовой	2	3
91	связи с	4	3
92	на этом	3	3
93	у него	9	3
94	как к	3	3
95	в ней	4	3
96	этом отношении	3	3
97	лишь в	3	3
98	героя в	2	3
99	а также	3	3
100	с точки	3	3
101	не была	2	3
102	той же	2	3
103	между тем	8	3
104	еще раз	2	3
105	говорить о	3	3
106	действующих лиц	2	2
107	не было	4	2
108	ни к	2	2
109	хотя и	2	2
110	однако в	2	2
111	жизни в	6	2
112	но он	3	2
113	влияние на	2	2
114	в себе	11	2
115	что он	9	2
116	с ее	2	2
117	мы уже	4	2
118	о нем	3	2
119	слова как	2	2
120	даже в	3	2
121	сих пор	2	2
122	лежит на	2	2
123	на его	2	2
124	то что	8	2
125	не знаем	2	2
126	на него	2	2
127	в их	2	2
128	в форме	2	2
129	так в	2	2
130	в связи	3	2
131	с этим	3	2
132	может и	3	2
133	т д	3	2
134	особенно в	2	2
135	именно в	7	2
136	в себя	2	2
137	мы не	2	2
138	они не	2	2
139	того чтобы	3	2
140	в результате	2	2
141	автора и	2	2
142	он не	4	2
143	эти слова	2	2
144	но как	2	2
145	в противовес	2	2
146	в другом	2	2
147	не знает	2	2
148	о том	12	2
149	как он	2	2
150	оно было	2	2
151	до сих	2	2
