N	2gram	Berdyaev_N_1	Problemy
1	и не	11	31
2	и в	16	29
3	может быть	7	24
4	а не	17	22
5	в этом	7	22
6	в нем	5	19
7	не только	5	15
8	то что	4	15
9	но и	3	14
10	уже не	2	13
11	как и	7	12
12	не может	16	12
13	этом смысле	2	10
14	в то	2	10
15	с его	6	9
16	это не	4	9
17	но не	2	9
18	все эти	2	9
19	что в	9	8
20	как не	8	8
21	в своей	3	8
22	потому что	4	8
23	в том	8	8
24	прежде всего	4	7
25	том что	2	7
26	не в	6	7
27	она не	3	7
28	за пределы	3	7
29	так и	2	7
30	а в	2	7
31	и на	2	7
32	в себе	2	7
33	мира и	2	7
34	но в	2	7
35	все это	5	6
36	что она	2	6
37	как в	3	6
38	в мире	3	6
39	так же	2	6
40	могут быть	2	6
41	и потому	4	6
42	должна быть	3	5
43	еще не	3	5
44	это и	2	5
45	у него	2	5
46	он не	8	5
47	мысли и	2	5
48	мир и	2	5
49	с их	2	5
50	и это	2	5
51	перестает быть	4	4
52	но это	6	4
53	и с	2	4
54	не значит	3	4
55	и для	4	4
56	не было	4	4
57	должно быть	4	4
58	в основе	3	4
59	я не	2	3
60	никогда не	6	3
61	в них	4	3
62	с другой	3	3
63	нового времени	12	3
64	ни в	6	3
65	по существу	2	3
66	одна из	2	3
67	и пр	3	3
68	в духе	3	3
69	бытия в	2	3
70	другой стороны	2	3
71	не во	4	3
72	тому как	3	3
73	сказать что	3	3
74	подобно тому	3	3
75	этот мир	2	3
76	не знает	6	3
77	как будто	2	3
78	жизни не	3	2
79	все время	2	2
80	воля к	6	2
81	к более	2	2
82	хотя бы	2	2
83	и от	2	2
84	в жизни	5	2
85	вопрос о	3	2
86	и к	5	2
87	не есть	3	2
88	нового типа	2	2
89	жизни и	8	2
90	конечно не	3	2
91	и даже	2	2
92	в смысле	2	2
93	и что	2	2
94	можно было	2	2
95	в ней	5	2
96	и есть	10	2
97	в истории	3	2
98	в россии	3	2
99	мысли в	2	2
100	с этим	2	2
