N	2gram	Tiupa_Teor_1	Hudozhes
1	том что	9	16
2	и в	18	14
3	так и	10	13
4	а не	9	12
5	в том	16	12
6	не только	16	12
7	при этом	12	12
8	прежде всего	2	11
9	в этом	8	11
10	в себе	9	11
11	в рассказе	2	11
12	для него	2	10
13	в своей	6	10
14	как и	4	9
15	в качестве	24	9
16	то же	7	9
17	как в	5	8
18	то что	3	8
19	же время	5	8
20	отношению к	4	8
21	по отношению	4	8
22	между тем	5	8
23	в этой	3	8
24	в то	6	8
25	в его	6	8
26	казалось бы	2	7
27	это не	2	7
28	личности в	3	7
29	к тому	2	7
30	уже не	4	7
31	не в	7	7
32	еще не	4	7
33	своего рода	7	7
34	как бы	5	7
35	не может	4	7
36	именно в	3	7
37	а в	13	7
38	не случайно	5	7
39	тогда как	15	7
40	никогда не	4	6
41	что в	9	6
42	в первой	5	6
43	жизни в	2	6
44	как правило	4	6
45	не менее	4	5
46	перед нами	2	5
47	с его	5	5
48	к жизни	2	5
49	в частности	16	5
50	в этих	3	5
51	об этом	2	5
52	может быть	17	5
53	только в	6	5
54	в аспекте	2	5
55	и а	4	5
56	но и	9	5
57	во второй	7	5
58	и его	8	5
59	потому что	3	5
60	ни в	2	5
61	точки зрения	9	5
62	героя и	5	5
63	но в	9	5
64	тому что	2	4
65	в своем	4	4
66	столь же	2	4
67	можно сказать	3	4
68	и к	3	4
69	а только	3	4
70	тем не	3	4
71	то в	2	4
72	в самом	4	4
73	и о	4	4
74	один из	2	4
75	что она	2	4
76	себя в	6	4
77	как раз	2	4
78	художественного целого	4	4
79	того что	4	4
80	человеческого я	3	4
81	он не	3	4
82	по своей	3	4
83	как будто	2	4
84	в русской	6	4
85	в конце	2	4
86	и это	2	4
87	всего лишь	6	4
88	но не	9	3
89	если бы	3	3
90	отнюдь не	3	3
91	в следующей	2	3
92	превращается в	2	3
93	но он	3	3
94	в литературе	2	3
95	в мире	19	3
96	в ходе	4	3
97	в ее	5	3
98	говорить о	3	3
99	художественной реальности	5	3
100	по своему	2	3
101	в пределах	5	3
102	такого рода	8	3
103	по преимуществу	4	3
104	несет в	2	3
105	человеческого бытия	2	3
106	даже в	3	3
107	в нем	4	3
108	русской литературе	2	3
109	со стороны	2	3
110	в тексте	14	3
111	приводит к	5	3
112	и для	2	3
113	все эти	2	3
114	читательского восприятия	2	3
115	лишь в	6	3
116	и даже	2	3
117	с точки	3	3
118	и по	2	3
119	как к	2	3
120	в финале	3	3
121	в равной	3	3
122	его в	2	3
123	а также	6	3
124	ни к	3	2
125	в рамках	7	2
126	если в	2	2
127	так или	4	2
128	однако в	7	2
129	так в	4	2
130	конечном счете	6	2
131	способ существования	2	2
132	художественности в	4	2
133	и потому	2	2
134	на фоне	2	2
135	в себя	3	2
136	или иного	3	2
137	в конечном	6	2
138	состоит в	17	2
139	своей жизни	2	2
140	в другом	3	2
141	и что	3	2
142	в целом	3	2
143	внутреннего я	4	2
144	внутреннего мира	2	2
145	одной из	2	2
146	говоря о	3	2
147	в произведениях	2	2
148	хотя и	3	2
149	слова как	3	2
150	своей природе	2	2
151	в форме	2	2
152	личности к	2	2
153	в их	2	2
154	все это	2	2
155	а и	4	2
156	а а	5	2
157	мышления и	2	2
158	а с	3	2
159	не знает	3	2
160	иначе говоря	4	2
161	и не	13	2
162	ключ к	2	2
163	от себя	3	2
164	того или	3	2
165	жизни как	4	2
166	на основе	2	2
167	художественного мира	2	2
168	или иначе	5	2
169	личности и	4	2
170	с ее	3	2
171	слова в	2	2
172	не следует	4	2
173	в художественном	3	2
174	я и	2	2
