N	2gram	Losev_Vlad_2	Freidism
1	таким образом	3	24
2	и не	18	23
3	не может	9	20
4	точки зрения	7	19
5	прежде всего	6	18
6	в этом	20	15
7	в его	11	15
8	может быть	7	13
9	и его	6	12
10	как и	5	11
11	как бы	5	11
12	то что	20	11
13	все эти	5	11
14	с точки	3	11
15	и потому	2	10
16	так и	5	10
17	как мы	11	10
18	его в	4	10
19	с ним	5	10
20	но в	8	10
21	с его	4	9
22	и в	30	9
23	во всех	3	9
24	что он	13	8
25	в своей	5	8
26	он не	4	8
27	не только	12	8
28	все это	5	8
29	то же	4	8
30	только в	6	8
31	и все	7	8
32	так как	5	8
33	мы знаем	4	7
34	ни в	7	7
35	тот же	5	7
36	к нему	2	7
37	во всяком	6	7
38	мы видели	2	7
39	отношение к	4	7
40	в самом	2	7
41	что же	8	7
42	те же	3	7
43	и наконец	4	7
44	сказать что	11	7
45	мы уже	2	7
46	всяком случае	6	7
47	никогда не	7	6
48	вовсе не	4	6
49	для него	9	6
50	того что	5	6
51	в ней	4	6
52	хотя бы	3	6
53	и с	14	6
54	и к	6	5
55	он сам	2	5
56	в свою	3	5
57	можно сказать	4	5
58	не в	9	5
59	в этой	4	5
60	в чем	2	5
61	в то	9	5
62	его жизни	6	5
63	что в	12	5
64	но и	8	5
65	и прежде	2	5
66	для того	2	5
67	а в	11	5
68	и на	4	5
69	с этим	5	5
70	мы должны	4	5
71	я и	2	5
72	не менее	7	4
73	но не	3	4
74	я не	4	4
75	в котором	5	4
76	в этих	4	4
77	из этих	3	4
78	к тому	2	4
79	об этом	6	4
80	всех этих	3	4
81	же время	3	4
82	которой мы	2	4
83	на этом	2	4
84	при этом	5	4
85	другими словами	5	4
86	конечно не	4	4
87	и о	4	4
88	в нем	4	4
89	все же	9	4
90	данном случае	2	4
91	не было	10	4
92	мы находим	2	4
93	уже не	3	4
94	того чтобы	2	4
95	и для	3	4
96	совсем не	4	4
97	в которой	4	4
98	той же	4	4
99	мы не	2	4
100	в таком	3	4
101	в данном	3	4
102	потому что	9	4
103	в более	2	4
104	всей жизни	2	4
105	нисколько не	2	3
106	и есть	2	3
107	мыслей и	2	3
108	в них	3	3
109	и от	2	3
110	в себе	6	3
111	он был	6	3
112	на другие	2	3
113	и как	3	3
114	но это	4	3
115	учение о	3	3
116	по своему	2	3
117	по поводу	4	3
118	она не	2	3
119	и может	2	3
120	было бы	9	3
121	в общем	2	3
122	и она	2	3
123	себя в	2	3
124	сказать о	3	3
125	жизни и	6	3
126	вместе с	8	3
127	со стороны	4	3
128	как в	3	3
129	мысли и	2	3
130	и вот	3	3
131	и что	5	3
132	свою очередь	2	3
133	на этот	4	3
134	и по	2	3
135	он дает	2	3
136	у него	19	3
137	есть и	2	2
138	в самых	2	2
139	в отношении	3	2
140	уже в	3	2
141	этого не	2	2
142	но все	2	2
143	что это	4	2
144	его и	2	2
145	для себя	5	2
146	того же	5	2
147	с которыми	4	2
148	это не	2	2
149	в конце	13	2
150	к этому	6	2
151	человек не	2	2
152	тем не	6	2
153	для нас	7	2
154	жизни по	2	2
155	до конца	7	2
156	да и	3	2
157	в основном	5	2
158	том что	12	2
159	а не	7	2
160	и часто	2	2
161	которой он	2	2
162	же касается	5	2
163	во сне	2	2
164	конце концов	3	2
165	о нем	2	2
166	в своем	8	2
167	себе и	2	2
168	и до	2	2
169	во второй	2	2
170	в их	2	2
171	отношения к	3	2
172	в отличие	3	2
173	и даже	10	2
174	и притом	2	2
175	к этим	2	2
176	так же	4	2
177	отличие от	3	2
178	и то	5	2
179	здесь в	2	2
180	очень много	2	2
181	их в	2	2
182	правда в	2	2
183	в своих	2	2
184	что и	3	2
185	и при	2	2
186	к его	2	2
187	и вообще	10	2
188	когда мы	3	2
189	как это	7	2
190	же с	13	2
191	в области	3	2
192	в виду	2	2
193	это было	4	2
