N	2gram	Bakhtin_sl_1	UchenyiS
1	и в	41	14
2	а не	15	10
3	не только	16	10
4	и не	16	8
5	прежде всего	8	8
6	в этом	12	7
7	не может	14	7
8	может быть	14	6
9	хотя бы	3	5
10	перестает быть	2	5
11	все это	5	5
12	то же	14	5
13	но и	16	4
14	в их	4	4
15	конечно не	3	4
16	с другой	5	4
17	как такового	3	3
18	но в	8	3
19	как и	4	3
20	и то	2	3
21	все же	7	3
22	в своей	7	3
23	и формы	4	3
24	в частности	2	3
25	же время	12	3
26	другой стороны	4	3
27	для него	3	3
28	это не	6	3
29	в то	14	3
30	не как	4	3
31	было бы	3	3
32	ни было	2	3
33	у нас	2	3
34	том что	2	2
35	но не	2	2
36	в том	3	2
37	в широком	2	2
38	по существу	3	2
39	мы не	2	2
40	с его	4	2
41	не есть	2	2
42	не в	7	2
43	всех этих	4	2
44	и для	4	2
45	мы и	2	2
46	бы и	3	2
47	нас в	2	2
48	только в	6	2
49	и с	4	2
50	сих пор	2	2
51	могут быть	19	2
52	его и	3	2
53	именно как	2	2
54	все они	7	2
55	и у	2	2
56	в себе	3	2
57	как раз	2	2
58	до сих	2	2
59	формы и	3	2
60	что все	2	2
61	в самом	5	2
62	не могут	3	2
63	меньшей степени	4	2
64	одним из	4	2
65	ничего не	4	2
66	а как	2	2
67	а между	2	2
68	в его	13	2
69	между тем	2	2
70	таким образом	9	2
