N	2gram	Medvedev_U_1	EvropaiC
1	таким образом	2	32
2	в том	2	31
3	и в	14	24
4	том что	2	20
5	не может	7	18
6	то что	7	17
7	может быть	6	15
8	все же	3	15
9	до сих	2	12
10	сих пор	2	12
11	самом деле	2	12
12	в этом	7	12
13	все это	5	11
14	между тем	2	11
15	как и	3	9
16	не в	2	8
17	в самом	2	8
18	если бы	2	8
19	для этого	3	7
20	но и	4	7
21	и не	8	7
22	что он	2	7
23	по существу	2	7
24	а между	2	7
25	должна быть	2	6
26	все они	2	6
27	с другой	4	6
28	в этой	4	6
29	что и	2	6
30	только в	2	6
31	что все	2	5
32	другой стороны	3	5
33	и с	2	5
34	но в	3	5
35	в то	3	5
36	в его	2	5
37	не только	10	5
38	и для	2	5
39	в себе	2	5
40	не могут	2	4
41	в конце	2	4
42	одним из	2	4
43	в их	4	4
44	и то	3	4
45	всех этих	2	4
46	конце концов	2	4
47	не есть	2	4
48	то же	5	4
49	этой области	3	4
50	и у	2	4
51	хотя бы	5	4
52	и т.д	3	4
53	в области	3	4
54	но даже	2	3
55	очевидно что	3	3
56	то ни	3	3
57	это не	3	3
58	что мы	2	3
59	прежде всего	8	3
60	у нас	3	3
61	конечно не	4	3
62	же не	2	3
63	в сторону	2	2
64	в частности	3	2
65	пришлось бы	3	2
66	сводится к	2	2
67	для него	3	2
68	мы и	2	2
69	же время	3	2
70	бы то	3	2
71	что она	2	2
72	ни было	3	2
73	не следует	3	2
74	при таком	2	2
75	на первый	2	2
76	но не	2	2
77	было бы	3	2
78	на каждом	2	2
79	и только	5	2
