N	2gram	Berdyaev_N_1	Myslijsy
1	потому что	4	49
2	и в	16	24
3	может быть	7	23
4	то что	4	20
5	и не	11	19
6	а не	17	18
7	в том	8	18
8	что в	9	16
9	не только	5	15
10	не в	6	13
11	но не	2	12
12	не может	16	12
13	вместе с	2	11
14	мы не	2	11
15	в себе	2	10
16	как в	3	10
17	в нем	5	9
18	но и	3	9
19	а в	2	8
20	том что	2	8
21	и на	2	8
22	в этом	7	8
23	могут быть	2	8
24	быть может	4	7
25	прежде всего	4	7
26	во всех	3	7
27	как и	7	7
28	с этим	2	7
29	с другой	3	6
30	не есть	3	6
31	не было	4	6
32	не имеет	4	6
33	в то	2	6
34	не менее	4	5
35	о том	4	5
36	в природе	2	5
37	так и	2	5
38	в них	4	5
39	место в	2	4
40	никогда не	6	4
41	уже не	2	4
42	такой же	2	4
43	одна из	2	4
44	еще не	3	4
45	время как	2	4
46	с одной	2	4
47	и что	2	4
48	тому как	3	4
49	подобно тому	3	4
50	с тем	3	4
51	но в	2	4
52	это не	4	3
53	и от	2	3
54	и все	4	3
55	человека и	3	3
56	думать что	2	3
57	хотя и	2	3
58	одной стороны	2	3
59	но это	6	3
60	в ней	5	3
61	помнить что	2	3
62	но она	2	3
63	как не	8	3
64	что она	2	3
65	мы говорим	2	3
66	и для	4	3
67	мысли в	2	3
68	и весь	2	2
69	этом смысле	2	2
70	и есть	10	2
71	перестает быть	4	2
72	хотя бы	2	2
73	и это	2	2
74	стремление к	2	2
75	в жизни	5	2
76	что все	2	2
77	вопрос о	3	2
78	зависит от	2	2
79	с его	6	2
80	за пределы	3	2
81	все эти	2	2
82	есть в	2	2
83	совсем не	12	2
84	так же	2	2
85	у него	2	2
86	и потому	4	2
87	можно назвать	2	2
88	не имеют	2	2
89	все это	5	2
90	другой стороны	2	2
91	не во	4	2
92	того чтобы	2	2
93	что такое	3	2
94	должно быть	4	2
95	как это	2	2
96	сказать что	3	2
97	в обществе	2	2
98	когда мы	2	2
99	это было	3	2
