N	2gram	Tiupa_Vved_1	Analitik
1	в тексте	10	24
2	тогда как	10	19
3	в этом	21	18
4	в частности	13	16
5	и в	13	16
6	не только	20	16
7	максима максимыча	2	16
8	так и	8	15
9	как и	11	14
10	в том	10	12
11	своего рода	10	12
12	но и	19	12
13	и не	12	12
14	том что	7	12
15	в качестве	8	11
16	иначе говоря	6	11
17	могут быть	4	10
18	как бы	4	10
19	при этом	26	10
20	а не	15	10
21	в пределах	2	9
22	лишь в	2	9
23	то есть	8	9
24	в данном	13	8
25	отнюдь не	7	8
26	состоит в	10	8
27	в целом	3	8
28	и т.п	9	8
29	представляет собой	15	8
30	всего лишь	5	8
31	к тому	6	7
32	в себе	5	7
33	то что	6	7
34	о том	5	7
35	а также	8	7
36	с другой	5	6
37	текста в	3	6
38	в самом	2	6
39	в мире	8	6
40	и на	3	6
41	говорить о	2	6
42	может быть	18	6
43	но в	6	6
44	и к	2	5
45	данном случае	6	5
46	с одной	5	5
47	не менее	4	4
48	в своем	5	4
49	можно сказать	4	4
50	в ходе	2	4
51	уже не	5	4
52	тому же	4	4
53	не в	6	4
54	в фаталисте	2	4
55	но не	5	4
56	тем самым	5	4
57	для него	3	4
58	одной стороны	5	4
59	в аспекте	2	4
60	как правило	6	4
61	имеет место	4	4
62	времени в	3	4
63	и тем	2	4
64	не с	3	4
65	отношению к	7	4
66	во всех	2	4
67	как в	4	4
68	как раз	2	4
69	по отношению	7	4
70	не может	7	4
71	и его	5	4
72	то же	5	4
73	коммуникативного события	5	4
74	хотя и	7	4
75	между двумя	3	4
76	только в	6	4
77	в сознании	4	4
78	нашего времени	2	4
79	в рамках	4	3
80	место в	2	3
81	никогда не	4	3
82	в нашем	6	3
83	как о	2	3
84	не столько	4	3
85	что касается	5	3
86	одного из	3	3
87	на фоне	2	3
88	прежде всего	7	3
89	или иной	3	3
90	при всей	2	3
91	вулича к	2	3
92	что на	2	3
93	тем не	3	3
94	есть в	2	3
95	имеем дело	3	3
96	по поводу	2	3
97	было бы	4	3
98	мы имеем	5	3
99	в центре	2	3
100	в речи	2	3
101	той или	3	3
102	повествования и	3	3
103	что и	2	3
104	со стороны	5	3
105	приводит к	2	3
106	если бы	7	3
107	этом отношении	4	3
108	на смену	2	3
109	можно было	2	3
110	а в	6	3
111	как мы	3	3
112	тому как	2	3
113	являет собой	2	3
114	в результате	3	3
115	тем что	2	3
116	подобно тому	2	3
117	как будто	4	3
118	сводится к	4	3
119	и т.д	5	3
120	художественного смысла	2	3
121	бы в	3	3
122	едва ли	3	3
123	и все	4	3
124	художественного высказывания	2	2
125	в изложении	2	2
126	того что	6	2
127	композиционных форм	2	2
128	очевидным образом	2	2
129	тот кто	2	2
130	появляется в	2	2
131	к этому	2	2
132	в случае	2	2
133	вследствие этого	3	2
134	по себе	2	2
135	или напротив	2	2
136	отличие от	2	2
137	в соответствии	6	2
138	соответствии с	6	2
139	присутствия в	7	2
140	а то	2	2
141	все что	3	2
142	же время	3	2
143	что в	3	2
144	еще не	7	2
145	о чем	2	2
146	такого рода	16	2
147	о жизни	2	2
148	в своей	5	2
149	текста и	3	2
150	не о	2	2
151	еще в	2	2
152	частности в	2	2
153	в котором	8	2
154	один из	3	2
155	строго говоря	2	2
156	картины мира	5	2
157	в отличие	2	2
158	на него	2	2
159	вслед за	2	2
160	ли не	2	2
161	во времени	2	2
162	по выражению	2	2
163	другой стороны	2	2
164	внимание на	3	2
165	таким образом	4	2
166	за пределами	3	2
167	те же	2	2
168	этих случаях	2	2
169	свидетельствует о	4	2
170	не имеет	2	2
171	и для	3	2
172	не следует	3	2
173	никак не	2	2
174	и адресата	2	2
175	самого рассказывания	3	2
176	он не	3	2
177	он и	2	2
178	с позиции	2	2
179	к его	3	2
180	это только	2	2
181	в то	4	2
182	повествования в	2	2
183	в его	4	2
184	представляют собой	3	2
185	в этих	3	2
186	в кадры	2	2
187	с ним	3	2
188	правило не	2	2
189	стало быть	7	2
